Disease,CommonTestAndProcedure
Mononeuritis,Physical therapy exercises (Exercises)
Mononeuritis,Magnetic resonance imaging (Mri)
Mononeuritis,Examination of foot
Mononeuritis,Application of splint (Splinting)
Mononeuritis,Other therapeutic procedures
Mononeuritis,Decompression peripheral nerve (Peripheral nerve decompression)
Mononeuritis,Occupational therapy assessment (Speech therapy)
Malaria,Intravenous fluid replacement
Malaria,Complete blood count (Cbc)
Malaria,Hematologic tests (Blood test)
Malaria,Electrolytes panel
Malaria,Urinalysis
Malaria,Cardiac enzymes measurement (Cardiac enzymes test)
Malaria,X-ray computed tomography (Scan ct)
Malaria,Electrocardiogram
Somatization disorder,Psychotherapy
Somatization disorder,Mental health counseling
Somatization disorder,Depression screen (Depression screening)
Somatization disorder,Liver function tests (Liver test)
Somatization disorder,Standard pregnancy test
Somatization disorder,Corneal transplant
Somatization disorder,Procedures on spleen (Spleen operation)
Somatization disorder,Removal of ectopic pregnancy
Hypovolemia,Hematologic tests (Blood test)
Hypovolemia,Complete blood count (Cbc)
Hypovolemia,Intravenous fluid replacement
Hypovolemia,Kidney function tests (Kidney function test)
Hypovolemia,Urinalysis
Hypovolemia,Glucose measurement (Glucose level)
Hypovolemia,Electrolytes panel
Hypovolemia,Radiographic imaging procedure
Schizophrenia,Psychotherapy
Schizophrenia,Mental health counseling
Schizophrenia,Toxicology screen
Schizophrenia,Blood alcohol
Schizophrenia,Liver function tests (Liver test)
Schizophrenia,Arterial blood gases (ABGs)
Schizophrenia,Prothrombin time assay (Prothrombin time)
Schizophrenia,Blood culture
Knee ligament or meniscus tear,Radiographic imaging procedure
Knee ligament or meniscus tear,Plain x-ray (X ray)
Knee ligament or meniscus tear,Magnetic resonance imaging (Mri)
Knee ligament or meniscus tear,Physical therapy exercises (Exercises)
Knee ligament or meniscus tear,Application of splint (Splinting)
Knee ligament or meniscus tear,Excision (Removal)
Knee ligament or meniscus tear,Wound care management
Knee ligament or meniscus tear,Other non-OR therapeutic procedures on musculoskeletal system
Endocarditis,Radiographic imaging procedure
Endocarditis,Hematologic tests (Blood test)
Endocarditis,Electrocardiogram
Endocarditis,Complete blood count (Cbc)
Endocarditis,Ultrasonography (Ultrasound)
Endocarditis,Echocardiography
Endocarditis,Glucose measurement (Glucose level)
Endocarditis,Electrolytes panel
Sepsis,Hematologic tests (Blood test)
Sepsis,Complete blood count (Cbc)
Sepsis,Intravenous fluid replacement
Sepsis,Radiographic imaging procedure
Sepsis,Urinalysis
Sepsis,Plain x-ray (X ray)
Sepsis,Kidney function tests (Kidney function test)
Sepsis,Electrolytes panel
Heat stroke,Hematologic tests (Blood test)
Heat stroke,Glucose measurement (Glucose level)
Heat stroke,Complete blood count (Cbc)
Heat stroke,Kidney function tests (Kidney function test)
Heat stroke,Intravenous fluid replacement
Heat stroke,Electrolytes panel
Heat stroke,Electrocardiogram
Heat stroke,Urinalysis
Cholecystitis,Hematologic tests (Blood test)
Cholecystitis,Complete blood count (Cbc)
Cholecystitis,Radiographic imaging procedure
Cholecystitis,Intravenous fluid replacement
Cholecystitis,Glucose measurement (Glucose level)
Cholecystitis,Kidney function tests (Kidney function test)
Cholecystitis,Electrolytes panel
Cholecystitis,Urinalysis
Cardiac arrest,Intravenous fluid replacement
Cardiac arrest,Electrocardiogram
Cardiac arrest,Hematologic tests (Blood test)
Cardiac arrest,Complete blood count (Cbc)
Cardiac arrest,Cardiac monitoring (Cardiac monitor)
Cardiac arrest,Radiographic imaging procedure
Cardiac arrest,Cardiopulmonary resuscitation (Cpr)
Cardiac arrest,Plain x-ray (X ray)
Cardiomyopathy,Hematologic tests (Blood test)
Cardiomyopathy,Electrocardiogram
Cardiomyopathy,Ultrasonography (Ultrasound)
Cardiomyopathy,Echocardiography
Cardiomyopathy,Lipid panel
Cardiomyopathy,Other diagnostic procedures (interview; evaluation; consultation)
Cardiomyopathy,Hemoglobin A1c measurement (Hemoglobin a1c test)
Cardiomyopathy,Cardiac stress tests
Social phobia,Psychotherapy
Social phobia,Mental health counseling
Social phobia,Depression screen (Depression screening)
Social phobia,Psychological and psychiatric evaluation and therapy
Meningitis,Hematologic tests (Blood test)
Meningitis,Complete blood count (Cbc)
Meningitis,Radiographic imaging procedure
Meningitis,Intravenous fluid replacement
Meningitis,Glucose measurement (Glucose level)
Meningitis,Urinalysis
Meningitis,Kidney function tests (Kidney function test)
Meningitis,X-ray computed tomography (Scan ct)
Spherocytosis,Hematologic tests (Blood test)
Spherocytosis,Complete blood count (Cbc)
Spherocytosis,Blood culture
Spherocytosis,Psychotherapy
Spherocytosis,Corneal transplant
Spherocytosis,Procedures on spleen (Spleen operation)
Spherocytosis,Removal of ectopic pregnancy
Spherocytosis,Tracheostomy; temporary and permanent
Hormone disorder,Hematologic tests (Blood test)
Hormone disorder,Complete physical skin exam performed (ML)
Hormone disorder,Examination of breast
Hormone disorder,Pelvis exam
Hormone disorder,Lipid panel
Hormone disorder,Ultrasonography (Ultrasound)
Hormone disorder,Other diagnostic procedures (interview; evaluation; consultation)
Hormone disorder,Magnetic resonance imaging (Mri)
Raynaud disease,Hematologic tests (Blood test)
Raynaud disease,Complete blood count (Cbc)
Raynaud disease,Complete physical skin exam performed (ML)
Raynaud disease,Ultrasonography (Ultrasound)
Raynaud disease,Lipid panel
Raynaud disease,Echocardiography
Raynaud disease,Examination of breast
Raynaud disease,Bone density scan
Reactive arthritis,Physical therapy exercises (Exercises)
Reactive arthritis,Corneal transplant
Reactive arthritis,Transurethral resection of prostate (TURP) (Turp)
Reactive arthritis,Coronary thrombolysis
Reactive arthritis,Control of epistaxis
Reactive arthritis,CT scan abdomen (Ct of abdomen)
Reactive arthritis,Procedures on spleen (Spleen operation)
Reactive arthritis,Bone marrow transplant (Bmt)
Scabies,Complete physical skin exam performed (ML)
Scabies,Diagnostic cardiac catheterization; coronary arteriography
Ear wax impaction,Other therapeutic ear procedures
Ear wax impaction,Other diagnostic procedures (interview; evaluation; consultation)
Ear wax impaction,Ophthalmologic and otologic diagnosis and treatment
Ear wax impaction,Nonoperative removal of foreign body
Ear wax impaction,Tracheoscopy and laryngoscopy with biopsy
Ear wax impaction,Diagnostic procedures on ear
Ear wax impaction,Diagnostic procedures on nose; mouth and pharynx
Ear wax impaction,Other OR therapeutic procedures on nose; mouth and pharynx
Hypertension of pregnancy,Urinalysis
Hypertension of pregnancy,Ultrasonography (Ultrasound)
Hypertension of pregnancy,Pelvis exam
Hypertension of pregnancy,Fetal monitoring
Hypertension of pregnancy,Other diagnostic procedures (interview; evaluation; consultation)
Hypertension of pregnancy,Hemoglobin A1c measurement (Hemoglobin a1c test)
Hypertension of pregnancy,Examination of breast
Hypertension of pregnancy,Pap smear
Peripheral arterial embolism,Hematologic tests (Blood test)
Peripheral arterial embolism,Radiographic imaging procedure
Peripheral arterial embolism,Complete blood count (Cbc)
Peripheral arterial embolism,Glucose measurement (Glucose level)
Peripheral arterial embolism,Electrocardiogram
Peripheral arterial embolism,Kidney function tests (Kidney function test)
Peripheral arterial embolism,Intravenous fluid replacement
Peripheral arterial embolism,Electrolytes panel
Rosacea,Complete physical skin exam performed (ML)
Rosacea,Excision (Removal)
Rosacea,Excision of skin lesion
Rosacea,Biopsy
Rosacea,Other diagnostic procedures on skin and subcutaneous tissue
Rosacea,Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
Rosacea,Other non-OR therapeutic procedures on skin and breast
Rosacea,Other OR therapeutic procedures on skin and breast
Fracture of the skull,Radiographic imaging procedure
Fracture of the skull,X-ray computed tomography (Scan ct)
Fracture of the skull,CAT scan of head (Head ct)
Fracture of the skull,Plain x-ray (X ray)
Fracture of the skull,Intravenous fluid replacement
Fracture of the skull,Complete blood count (Cbc)
Fracture of the skull,Kidney function tests (Kidney function test)
Fracture of the skull,Electrolytes panel
Uveitis,Ophthalmic examination and evaluation (Eye exam)
Uveitis,Lens and cataract procedures
Uveitis,Depression screen (Depression screening)
Uveitis,Mental health counseling
Uveitis,Corneal transplant
Uveitis,Procedures on spleen (Spleen operation)
Uveitis,Removal of ectopic pregnancy
Uveitis,Tracheostomy; temporary and permanent
Fracture of the facial bones,Radiographic imaging procedure
Fracture of the facial bones,X-ray computed tomography (Scan ct)
Fracture of the facial bones,Plain x-ray (X ray)
Fracture of the facial bones,CAT scan of head (Head ct)
Fracture of the facial bones,Intravenous fluid replacement
Fracture of the facial bones,Suturing of wound
Fracture of the facial bones,Wound care management
Fracture of the facial bones,Blood alcohol
Tracheitis,Nebulizer therapy
Tracheitis,Tracheoscopy and laryngoscopy with biopsy
Tracheitis,Other diagnostic nervous system procedures
Tracheitis,Other non-OR therapeutic procedures on nose; mouth and pharynx
Tracheitis,Diagnostic procedures on ear
Tracheitis,Other respiratory therapy
Tracheitis,Cardiac stress tests
Tracheitis,Occupational therapy assessment (Speech therapy)
Jaw disorder,Wound care management
Jaw disorder,Traction; splints; and other wound care
Jaw disorder,Incision and drainage (I d)
Jaw disorder,Physical therapy exercises; manipulation; and other procedures
Perirectal infection,Rectal examination
Perirectal infection,Wound care management
Perirectal infection,Intravenous fluid replacement
Perirectal infection,Kidney function tests (Kidney function test)
Perirectal infection,Complete physical skin exam performed (ML)
Perirectal infection,Incision and drainage (I d)
Perirectal infection,X-ray computed tomography (Scan ct)
Perirectal infection,Culture wound
Breast cyst,Examination of breast
Breast cyst,Radiographic imaging procedure
Breast cyst,Mammography (Mammogram)
Breast cyst,Ultrasonography (Ultrasound)
Breast cyst,Biopsy
Breast cyst,Complete physical skin exam performed (ML)
Breast cyst,Excision (Removal)
Breast cyst,Lipid panel
Post-traumatic stress disorder (PTSD),Psychotherapy
Post-traumatic stress disorder (PTSD),Mental health counseling
Post-traumatic stress disorder (PTSD),Depression screen (Depression screening)
Post-traumatic stress disorder (PTSD),Psychological and psychiatric evaluation and therapy
Post-traumatic stress disorder (PTSD),Occupational therapy assessment (Speech therapy)
Kidney cancer,Hematologic tests (Blood test)
Kidney cancer,Complete blood count (Cbc)
Kidney cancer,Radiographic imaging procedure
Kidney cancer,Urinalysis
Kidney cancer,X-ray computed tomography (Scan ct)
Kidney cancer,Complete physical skin exam performed (ML)
Kidney cancer,Ultrasonography (Ultrasound)
Kidney cancer,Magnetic resonance imaging (Mri)
Vulvar cancer,Pelvis exam
Vulvar cancer,Excision (Removal)
Vulvar cancer,Other OR therapeutic procedures; female organs
Vulvar cancer,Examination of breast
Vulvar cancer,Complete physical skin exam performed (ML)
Vulvar cancer,Depression screen (Depression screening)
Vulvar cancer,Examination of foot
Vulvar cancer,Rectal examination
Blepharitis,Ophthalmic examination and evaluation (Eye exam)
Blepharitis,Other therapeutic procedures on eyelids; conjunctiva; cornea
Blepharitis,Ophthalmologic and otologic diagnosis and treatment
Blepharitis,Lens and cataract procedures
Blepharitis,Diagnostic procedures on eye
Blepharitis,Physical therapy exercises; manipulation; and other procedures
Celiac disease,Hematologic tests (Blood test)
Celiac disease,Complete blood count (Cbc)
Celiac disease,Complete physical skin exam performed (ML)
Celiac disease,Biopsy
Celiac disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Celiac disease,Lipid panel
Celiac disease,Upper gastrointestinal endoscopy; biopsy
Celiac disease,Examination of foot
Cystitis,Urinalysis
Cystitis,Kidney function tests (Kidney function test)
Cystitis,Standard pregnancy test
Cystitis,Pelvis exam
Cystitis,Liver function tests (Liver test)
Cystitis,Insertion of catheter into urinary bladder
Cystitis,Rectal examination
Cystitis,Endoscopy and endoscopic biopsy of the urinary tract
Sickle cell anemia,Hematologic tests (Blood test)
Sickle cell anemia,Complete blood count (Cbc)
Sickle cell anemia,Urinalysis
Sickle cell anemia,Glucose measurement (Glucose level)
Sickle cell anemia,Other diagnostic procedures (interview; evaluation; consultation)
Sickle cell anemia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Sickle cell anemia,Pelvis exam
Sickle cell anemia,Ultrasonography (Ultrasound)
Subconjunctival hemorrhage,X-ray computed tomography (Scan ct)
Subconjunctival hemorrhage,CAT scan of head (Head ct)
Subconjunctival hemorrhage,Prothrombin time assay (Prothrombin time)
Subconjunctival hemorrhage,Ophthalmic examination and evaluation (Eye exam)
Subconjunctival hemorrhage,Suturing of wound
Subconjunctival hemorrhage,Blood alcohol
Subconjunctival hemorrhage,Nonoperative removal of foreign body
Subconjunctival hemorrhage,Culture wound
Hemorrhoids,Rectal examination
Hemorrhoids,Sigmoidoscopy or colonoscopy
Hemorrhoids,Colonoscopy and biopsy
Hemorrhoids,Excision (Removal)
Hemorrhoids,Biopsy
Hemorrhoids,Prothrombin time assay (Prothrombin time)
Hemorrhoids,Hemorrhoid procedures (Hemorrhoid operation)
Hemorrhoids,Proctoscopy and anorectal biopsy
Contact dermatitis,Complete physical skin exam performed (ML)
Contact dermatitis,Biopsy
Contact dermatitis,Other diagnostic procedures on skin and subcutaneous tissue
Contact dermatitis,Excision of skin lesion
Contact dermatitis,Referral to home health care service
Contact dermatitis,Other non-OR therapeutic procedures on skin and breast
Contact dermatitis,Other gastrointestinal diagnostic procedures
Contact dermatitis,Other diagnostic procedures on musculoskeletal system
Sinus bradycardia,Electrocardiogram
Sinus bradycardia,Hematologic tests (Blood test)
Sinus bradycardia,Complete blood count (Cbc)
Sinus bradycardia,Radiographic imaging procedure
Sinus bradycardia,Glucose measurement (Glucose level)
Sinus bradycardia,Plain x-ray (X ray)
Sinus bradycardia,Kidney function tests (Kidney function test)
Sinus bradycardia,Electrolytes panel
High blood pressure,Hematologic tests (Blood test)
High blood pressure,Complete blood count (Cbc)
High blood pressure,Lipid panel
High blood pressure,Glucose measurement (Glucose level)
High blood pressure,Electrocardiogram
High blood pressure,Hemoglobin A1c measurement (Hemoglobin a1c test)
High blood pressure,Ultrasonography (Ultrasound)
High blood pressure,Other diagnostic procedures (interview; evaluation; consultation)
Pelvic inflammatory disease,Urinalysis
Pelvic inflammatory disease,Hematologic tests (Blood test)
Pelvic inflammatory disease,Complete blood count (Cbc)
Pelvic inflammatory disease,Standard pregnancy test
Pelvic inflammatory disease,Radiographic imaging procedure
Pelvic inflammatory disease,Pelvis exam
Pelvic inflammatory disease,Kidney function tests (Kidney function test)
Pelvic inflammatory disease,Glucose measurement (Glucose level)
Liver disease,Hematologic tests (Blood test)
Liver disease,Complete blood count (Cbc)
Liver disease,Radiographic imaging procedure
Liver disease,Glucose measurement (Glucose level)
Liver disease,Electrolytes panel
Liver disease,Kidney function tests (Kidney function test)
Liver disease,Urinalysis
Liver disease,Intravenous fluid replacement
Chronic constipation,Radiographic imaging procedure
Chronic constipation,Hematologic tests (Blood test)
Chronic constipation,Complete blood count (Cbc)
Chronic constipation,Plain x-ray (X ray)
Chronic constipation,Urinalysis
Chronic constipation,Glucose measurement (Glucose level)
Chronic constipation,Kidney function tests (Kidney function test)
Chronic constipation,Electrolytes panel
Thyroid cancer,Hematologic tests (Blood test)
Thyroid cancer,Complete physical skin exam performed (ML)
Thyroid cancer,Ultrasonography (Ultrasound)
Thyroid cancer,Biopsy
Thyroid cancer,Therapeutic radiology for cancer treatment (Irradiation)
Thyroid cancer,Hemoglobin A1c measurement (Hemoglobin a1c test)
Thyroid cancer,Excision (Removal)
Thyroid cancer,Depression screen (Depression screening)
Flu,Plain x-ray (X ray)
Flu,Influenzavirus antibody assay
Flu,Intravenous fluid replacement
Flu,Blood culture
Flu,Nebulizer therapy
Flu,Other respiratory therapy
Friedrich ataxia,Echocardiography
Friedrich ataxia,Ultrasonography (Ultrasound)
Friedrich ataxia,Pelvis exam
Friedrich ataxia,Electrocardiogram
Friedrich ataxia,Corneal transplant
Friedrich ataxia,Transurethral resection of prostate (TURP) (Turp)
Friedrich ataxia,Coronary thrombolysis
Friedrich ataxia,Control of epistaxis
Tic (movement) disorder,Psychotherapy
Tic (movement) disorder,Mental health counseling
Tic (movement) disorder,Other diagnostic procedures (interview; evaluation; consultation)
Tic (movement) disorder,Magnetic resonance imaging (Mri)
Tic (movement) disorder,Electroencephalogram (EEG) (Eeg)
Tic (movement) disorder,Ophthalmic examination and evaluation (Eye exam)
Tic (movement) disorder,Other diagnostic radiology and related techniques
Tic (movement) disorder,Other diagnostic procedures on skin and subcutaneous tissue
Skin polyp,Complete physical skin exam performed (ML)
Skin polyp,Excision (Removal)
Skin polyp,Biopsy
Skin polyp,Excision of skin lesion
Skin polyp,Wound care management
Skin polyp,Other diagnostic procedures on skin and subcutaneous tissue
Skin polyp,Other therapeutic procedures
Skin polyp,Other non-OR therapeutic procedures on skin and breast
Brachial neuritis,Radiographic imaging procedure
Brachial neuritis,Plain x-ray (X ray)
Brachial neuritis,Magnetic resonance imaging (Mri)
Brachial neuritis,Physical therapy exercises (Exercises)
Brachial neuritis,Insertion of catheter or spinal stimulator and injection into spinal canal
Brachial neuritis,Other diagnostic procedures (interview; evaluation; consultation)
Brachial neuritis,Other therapeutic procedures
Brachial neuritis,Other diagnostic radiology and related techniques
Cervical cancer,Pelvis exam
Cervical cancer,Biopsy
Cervical cancer,Examination of breast
Cervical cancer,Other diagnostic procedures; female organs
Cervical cancer,Other excision of cervix and uterus
Cervical cancer,Rectal examination
Cervical cancer,Pap smear
Cervical cancer,Standard pregnancy test
Adrenal adenoma,Urinalysis
Adrenal adenoma,Magnetic resonance imaging (Mri)
Adrenal adenoma,X-ray computed tomography (Scan ct)
Adrenal adenoma,Other diagnostic procedures (interview; evaluation; consultation)
Adrenal adenoma,Other OR therapeutic nervous system procedures
Adrenal adenoma,Other therapeutic procedures
Adrenal adenoma,Echocardiography
Adrenal adenoma,Corneal transplant
Esophagitis,Hematologic tests (Blood test)
Esophagitis,Complete blood count (Cbc)
Esophagitis,Plain x-ray (X ray)
Esophagitis,Electrocardiogram
Esophagitis,Intravenous fluid replacement
Esophagitis,Glucose measurement (Glucose level)
Esophagitis,Electrolytes panel
Esophagitis,Kidney function tests (Kidney function test)
Gas gangrene,Corneal transplant
Gas gangrene,Transurethral resection of prostate (TURP) (Turp)
Gas gangrene,Coronary thrombolysis
Gas gangrene,Control of epistaxis
Gas gangrene,CT scan abdomen (Ct of abdomen)
Gas gangrene,Procedures on spleen (Spleen operation)
Gas gangrene,Bone marrow transplant (Bmt)
Gas gangrene,Removal of ectopic pregnancy
Yeast infection,Urinalysis
Yeast infection,Pelvis exam
Yeast infection,Complete physical skin exam performed (ML)
Yeast infection,Examination of breast
Yeast infection,Standard pregnancy test
Yeast infection,Chlamydia test
Yeast infection,Microscopic examination (bacterial smear; culture; toxicology)
Yeast infection,Rectal examination
Spina bifida,Radiographic imaging procedure
Spina bifida,Complete physical skin exam performed (ML)
Spina bifida,Plain x-ray (X ray)
Spina bifida,Wound care management
Spina bifida,Physical therapy exercises (Exercises)
Spina bifida,Magnetic resonance imaging (Mri)
Spina bifida,Ultrasonography (Ultrasound)
Spina bifida,Rectal examination
Drug poisoning due to medication,Hematologic tests (Blood test)
Drug poisoning due to medication,Complete blood count (Cbc)
Drug poisoning due to medication,Electrocardiogram
Drug poisoning due to medication,Intravenous fluid replacement
Drug poisoning due to medication,Urinalysis
Drug poisoning due to medication,Kidney function tests (Kidney function test)
Drug poisoning due to medication,Glucose measurement (Glucose level)
Drug poisoning due to medication,Electrolytes panel
Alcoholic liver disease,Hematologic tests (Blood test)
Alcoholic liver disease,Complete blood count (Cbc)
Alcoholic liver disease,Radiographic imaging procedure
Alcoholic liver disease,Glucose measurement (Glucose level)
Alcoholic liver disease,Intravenous fluid replacement
Alcoholic liver disease,Electrolytes panel
Alcoholic liver disease,Urinalysis
Alcoholic liver disease,Plain x-ray (X ray)
Malignant hypertension,Hematologic tests (Blood test)
Malignant hypertension,Complete blood count (Cbc)
Malignant hypertension,Electrocardiogram
Malignant hypertension,Radiographic imaging procedure
Malignant hypertension,Plain x-ray (X ray)
Malignant hypertension,Intravenous fluid replacement
Malignant hypertension,Glucose measurement (Glucose level)
Malignant hypertension,Kidney function tests (Kidney function test)
Diverticulitis,Hematologic tests (Blood test)
Diverticulitis,Complete blood count (Cbc)
Diverticulitis,Radiographic imaging procedure
Diverticulitis,Urinalysis
Diverticulitis,X-ray computed tomography (Scan ct)
Diverticulitis,Intravenous fluid replacement
Diverticulitis,Kidney function tests (Kidney function test)
Diverticulitis,Glucose measurement (Glucose level)
Moyamoya disease,Hematologic tests (Blood test)
Moyamoya disease,Psychotherapy
Moyamoya disease,Other diagnostic procedures (interview; evaluation; consultation)
Moyamoya disease,Other therapeutic procedures
Moyamoya disease,Magnetic resonance imaging (Mri)
Moyamoya disease,Corneal transplant
Moyamoya disease,Procedures on spleen (Spleen operation)
Moyamoya disease,Removal of ectopic pregnancy
Heat exhaustion,Hematologic tests (Blood test)
Heat exhaustion,Complete blood count (Cbc)
Heat exhaustion,Intravenous fluid replacement
Heat exhaustion,Kidney function tests (Kidney function test)
Heat exhaustion,Electrolytes panel
Heat exhaustion,Electrocardiogram
Heat exhaustion,Glucose measurement (Glucose level)
Heat exhaustion,Urinalysis
Psychotic disorder,Psychotherapy
Psychotic disorder,Mental health counseling
Psychotic disorder,Urinalysis
Psychotic disorder,Glucose measurement (Glucose level)
Psychotic disorder,Kidney function tests (Kidney function test)
Psychotic disorder,Electrolytes panel
Psychotic disorder,Toxicology screen
Psychotic disorder,Blood alcohol
Frostbite,Wound care management
Frostbite,Complete physical skin exam performed (ML)
Frostbite,Cardiac enzymes measurement (Cardiac enzymes test)
Frostbite,Debridement of wound; infection or burn
Frostbite,Prophylactic vaccinations and inoculations
Frostbite,Insertion of catheter into urinary bladder
Frostbite,Excision (Removal)
Frostbite,CAT scan of head (Head ct)
Atrophy of the corpus cavernosum,Complete physical skin exam performed (ML)
Atrophy of the corpus cavernosum,Urinalysis
Atrophy of the corpus cavernosum,Excision (Removal)
Atrophy of the corpus cavernosum,Procedures on the urethra
Atrophy of the corpus cavernosum,Other OR therapeutic procedures; male genital
Atrophy of the corpus cavernosum,Other therapeutic procedures
Atrophy of the corpus cavernosum,Indwelling catheter
Atrophy of the corpus cavernosum,Nonoperative removal of foreign body
Smoking or tobacco addiction,Mental health counseling
Smoking or tobacco addiction,Psychotherapy
Smoking or tobacco addiction,Lipid panel
Smoking or tobacco addiction,Hemoglobin A1c measurement (Hemoglobin a1c test)
Smoking or tobacco addiction,Nebulizer therapy
Smoking or tobacco addiction,Depression screen (Depression screening)
Smoking or tobacco addiction,Prostate specific antigen measurement (Prostate specific antigen test)
Smoking or tobacco addiction,Mammography (Mammogram)
Sprain or strain,Radiographic imaging procedure
Sprain or strain,Plain x-ray (X ray)
Sprain or strain,Application of splint (Splinting)
Sprain or strain,Physical therapy exercises (Exercises)
Sprain or strain,CAT scan of head (Head ct)
Sprain or strain,Magnetic resonance imaging (Mri)
Sprain or strain,Orthopedic casting
Sprain or strain,Traction; splints; and other wound care
Essential tremor,Other diagnostic procedures (interview; evaluation; consultation)
Essential tremor,Magnetic resonance imaging (Mri)
Essential tremor,Physical therapy exercises (Exercises)
Essential tremor,Ophthalmic examination and evaluation (Eye exam)
Essential tremor,Depression screen (Depression screening)
Essential tremor,Other physical therapy and rehabilitation
Essential tremor,Other non-OR therapeutic procedures on musculoskeletal system
Essential tremor,Psychological and psychiatric evaluation and therapy
Open wound of the ear,Suturing of wound
Open wound of the ear,Wound care management
Open wound of the ear,X-ray computed tomography (Scan ct)
Open wound of the ear,CAT scan of head (Head ct)
Open wound of the ear,Application of splint (Splinting)
Open wound of the ear,Other therapeutic ear procedures
Open wound of the ear,Nonoperative removal of foreign body
Foreign body in the nose,Nonoperative removal of foreign body
Foreign body in the nose,Wound care management
Idiopathic painful menstruation,Hematologic tests (Blood test)
Idiopathic painful menstruation,Urinalysis
Idiopathic painful menstruation,Pelvis exam
Idiopathic painful menstruation,Complete blood count (Cbc)
Idiopathic painful menstruation,Standard pregnancy test
Idiopathic painful menstruation,Examination of breast
Idiopathic painful menstruation,Ultrasonography (Ultrasound)
Idiopathic painful menstruation,Chlamydia test
Down syndrome,Complete physical skin exam performed (ML)
Down syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Down syndrome,Mental health counseling
Down syndrome,Occupational therapy assessment (Speech therapy)
Down syndrome,Physical therapy exercises (Exercises)
Down syndrome,Hemoglobin A1c measurement (Hemoglobin a1c test)
Down syndrome,Echocardiography
Down syndrome,Upper gastrointestinal endoscopy; biopsy
Idiopathic infrequent menstruation,Hematologic tests (Blood test)
Idiopathic infrequent menstruation,Pelvis exam
Idiopathic infrequent menstruation,Examination of breast
Idiopathic infrequent menstruation,Complete physical skin exam performed (ML)
Idiopathic infrequent menstruation,Ultrasonography (Ultrasound)
Idiopathic infrequent menstruation,Standard pregnancy test
Idiopathic infrequent menstruation,Chlamydia test
Idiopathic infrequent menstruation,Lipid panel
Pneumothorax,Radiographic imaging procedure
Pneumothorax,Plain x-ray (X ray)
Pneumothorax,Hematologic tests (Blood test)
Pneumothorax,Complete blood count (Cbc)
Pneumothorax,Intravenous fluid replacement
Pneumothorax,Kidney function tests (Kidney function test)
Pneumothorax,X-ray computed tomography (Scan ct)
Pneumothorax,Electrocardiogram
De Quervain disease,Application of splint (Splinting)
De Quervain disease,Other therapeutic procedures
De Quervain disease,Physical therapy exercises (Exercises)
De Quervain disease,Occupational therapy assessment (Speech therapy)
De Quervain disease,Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
De Quervain disease,Other non-OR therapeutic procedures on musculoskeletal system
De Quervain disease,Bone density scan
De Quervain disease,Culture wound
Fracture of the vertebra,Radiographic imaging procedure
Fracture of the vertebra,Plain x-ray (X ray)
Fracture of the vertebra,X-ray computed tomography (Scan ct)
Fracture of the vertebra,Complete blood count (Cbc)
Fracture of the vertebra,Intravenous fluid replacement
Fracture of the vertebra,Urinalysis
Fracture of the vertebra,Kidney function tests (Kidney function test)
Fracture of the vertebra,Electrolytes panel
Human immunodeficiency virus infection (HIV),Hematologic tests (Blood test)
Human immunodeficiency virus infection (HIV),Complete blood count (Cbc)
Human immunodeficiency virus infection (HIV),Glucose measurement (Glucose level)
Human immunodeficiency virus infection (HIV),Complete physical skin exam performed (ML)
Human immunodeficiency virus infection (HIV),Lipid panel
Human immunodeficiency virus infection (HIV),Electrolytes panel
Human immunodeficiency virus infection (HIV),Mental health counseling
Human immunodeficiency virus infection (HIV),Psychotherapy
Mumps,Hematologic tests (Blood test)
Mumps,Complete blood count (Cbc)
Mumps,Corneal transplant
Mumps,Transurethral resection of prostate (TURP) (Turp)
Mumps,Coronary thrombolysis
Mumps,Control of epistaxis
Mumps,CT scan abdomen (Ct of abdomen)
Mumps,Procedures on spleen (Spleen operation)
Subarachnoid hemorrhage,Radiographic imaging procedure
Subarachnoid hemorrhage,Hematologic tests (Blood test)
Subarachnoid hemorrhage,X-ray computed tomography (Scan ct)
Subarachnoid hemorrhage,Complete blood count (Cbc)
Subarachnoid hemorrhage,Intravenous fluid replacement
Subarachnoid hemorrhage,CAT scan of head (Head ct)
Subarachnoid hemorrhage,Kidney function tests (Kidney function test)
Subarachnoid hemorrhage,Glucose measurement (Glucose level)
Acute fatty liver of pregnancy (AFLP),Urinalysis
Acute fatty liver of pregnancy (AFLP),Pelvis exam
Acute fatty liver of pregnancy (AFLP),Ultrasonography (Ultrasound)
Acute fatty liver of pregnancy (AFLP),Chlamydia test
Acute fatty liver of pregnancy (AFLP),Examination of breast
Acute fatty liver of pregnancy (AFLP),Liver function tests (Liver test)
Acute fatty liver of pregnancy (AFLP),Corneal transplant
Acute fatty liver of pregnancy (AFLP),Procedures on spleen (Spleen operation)
Ectropion,Physical therapy exercises; manipulation; and other procedures
Ectropion,Other therapeutic procedures on eyelids; conjunctiva; cornea
Ectropion,Ophthalmic examination and evaluation (Eye exam)
Ectropion,Physical therapy exercises (Exercises)
Ectropion,Corneal transplant
