Disease,Symptom
Hemorrhoids,Mass or swelling around the anus
Hemorrhoids,Itching of the anus
Hemorrhoids,Lower body pain
Hemorrhoids,Melena
Hemorrhoids,Changes in stool appearance
Hemorrhoids,Heartburn
Hemorrhoids,Vaginal pain
Contact dermatitis,Skin rash
Contact dermatitis,Itching of skin
Contact dermatitis,Abnormal appearing skin
Contact dermatitis,Skin lesion
Contact dermatitis,Skin dryne
Contact dermatitis,Allergic reaction
Contact dermatitis,Skin swelling
Contact dermatitis,Acne or pimples
Contact dermatitis,Skin irritation
Contact dermatitis,Swollen eye
Contact dermatitis,Diaper rash
Contact dermatitis,Skin moles
Sinus bradycardia,Sharp chest pain
Sinus bradycardia,Dizziness
Sinus bradycardia,Shortness of breath
Sinus bradycardia,Palpitations
Sinus bradycardia,Increased heart rate
Sinus bradycardia,Fainting
Sinus bradycardia,Decreased heart rate
Sinus bradycardia,Weakness
Sinus bradycardia,Irregular heartbeat
Sinus bradycardia,Chest tightness
Sinus bradycardia,Fatigue
Sinus bradycardia,Feeling ill
High blood pressure,Sharp chest pain
High blood pressure,Headache
Pelvic inflammatory disease,Sharp abdominal pain
Pelvic inflammatory disease,Pelvic pain
Pelvic inflammatory disease,Lower abdominal pain
Pelvic inflammatory disease,Vaginal discharge
Pelvic inflammatory disease,Nausea
Pelvic inflammatory disease,Vomiting
Pelvic inflammatory disease,Side pain
Pelvic inflammatory disease,Burning abdominal pain
Pelvic inflammatory disease,Back pain
Pelvic inflammatory disease,Painful urination
Pelvic inflammatory disease,Suprapubic pain
Pelvic inflammatory disease,Intermenstrual bleeding
Liver disease,Sharp abdominal pain
Liver disease,Jaundice
Liver disease,Upper abdominal pain
Liver disease,Diarrhea
Liver disease,Shortness of breath
Liver disease,Nausea
Liver disease,Weakness
Liver disease,Side pain
Liver disease,Peripheral edema
Liver disease,Blood in stool
Liver disease,Unusual color or odor to urine
Liver disease,Heartburn
Chronic constipation,Constipation
Chronic constipation,Sharp abdominal pain
Chronic constipation,Burning abdominal pain
Chronic constipation,Vomiting
Chronic constipation,Nausea
Chronic constipation,Lower abdominal pain
Chronic constipation,Rectal bleeding
Chronic constipation,Blood in stool
Chronic constipation,Pain of the anus
Chronic constipation,Retention of urine
Chronic constipation,Stomach bloating
Chronic constipation,Changes in stool appearance
Thyroid cancer,Fatigue
Thyroid cancer,Difficulty in swallowing
Thyroid cancer,Neck mass
Thyroid cancer,Leg weakness
Thyroid cancer,Stiffness all over
Thyroid cancer,Neck swelling
Thyroid cancer,Swollen lymph nodes
Thyroid cancer,Arm weakness
Thyroid cancer,Delusions or hallucinations
Flu,Fever
Flu,Cough
Flu,Sore throat
Flu,Nasal congestion
Flu,Ache all over
Flu,Flu-like syndrome
Flu,Headache
Flu,Vomiting
Flu,Chills
Flu,Coryza
Flu,Nausea
Flu,Diarrhea
Friedrich ataxia,Ear pain
Friedrich ataxia,Flatulence
Friedrich ataxia,Peripheral edema
Friedrich ataxia,Wheezing
Friedrich ataxia,Arm weakness
Friedrich ataxia,Arm pain
Friedrich ataxia,Cough
Friedrich ataxia,Shoulder swelling
Friedrich ataxia,Vulvar sore
Friedrich ataxia,Knee lump or mass
Friedrich ataxia,Back stiffness or tightness
Friedrich ataxia,Itchy eyelid
Tic (movement) disorder,Abnormal involuntary movements
Tic (movement) disorder,Headache
Tic (movement) disorder,Abnormal movement of eyelid
Tic (movement) disorder,Seizures
Tic (movement) disorder,Depressive or psychotic symptoms
Tic (movement) disorder,Symptoms of eye
Tic (movement) disorder,Problems with movement
Tic (movement) disorder,Cramps and spasms
Tic (movement) disorder,Excessive anger
Tic (movement) disorder,Stiffness all over
Tic (movement) disorder,Groin pain
Tic (movement) disorder,Temper problems
Skin polyp,Skin moles
Skin polyp,Skin lesion
Skin polyp,Abnormal appearing skin
Skin polyp,Skin growth
Skin polyp,Acne or pimples
Skin polyp,Itching of skin
Skin polyp,Skin swelling
Skin polyp,Change in skin mole size or color
Skin polyp,Warts
Skin polyp,Skin dryne
Skin polyp,Irregular appearing scalp
Skin polyp,Skin irritation
Brachial neuritis,Neck pain
Brachial neuritis,Shoulder pain
Brachial neuritis,Arm pain
Brachial neuritis,Loss of sensation
Brachial neuritis,Back pain
Brachial neuritis,Headache
Brachial neuritis,Low back pain
Brachial neuritis,Paresthesia
Brachial neuritis,Hand or finger pain
Brachial neuritis,Arm weakness
Brachial neuritis,Elbow pain
Brachial neuritis,Hand or finger weakness
Cervical cancer,Pelvic pain
Cervical cancer,Vaginal discharge
Cervical cancer,Heavy menstrual flow
Cervical cancer,Unpredictable menstruation
Cervical cancer,Vaginal itching
Cervical cancer,Intermenstrual bleeding
Cervical cancer,Painful menstruation
Cervical cancer,Vulvar irritation
Cervical cancer,Difficulty eating
Cervical cancer,Jaundice
Cervical cancer,Mass on vulva
Cervical cancer,Swollen abdomen
Adrenal adenoma,Sharp abdominal pain
Adrenal adenoma,Sharp chest pain
Adrenal adenoma,Anxiety and nervousness
Adrenal adenoma,Shortness of breath
Adrenal adenoma,Constipation
Adrenal adenoma,Ache all over
Adrenal adenoma,Back pain
Adrenal adenoma,Muscle swelling
Adrenal adenoma,Low back weakness
Adrenal adenoma,Elbow cramps or spasms
Adrenal adenoma,Back weakness
Adrenal adenoma,Pus in sputum
Esophagitis,Sharp chest pain
Esophagitis,Sharp abdominal pain
Esophagitis,Vomiting
Esophagitis,Difficulty in swallowing
Esophagitis,Nausea
Esophagitis,Heartburn
Esophagitis,Upper abdominal pain
Esophagitis,Sore throat
Esophagitis,Cough
Esophagitis,Shortness of breath
Esophagitis,Burning abdominal pain
Esophagitis,Chest tightness
Gas gangrene,Sharp abdominal pain
Gas gangrene,Shoulder cramps or spasms
Gas gangrene,Excessive anger
Gas gangrene,Ankle pain
Gas gangrene,Wrist pain
Gas gangrene,Pain during pregnancy
Gas gangrene,Facial pain
Gas gangrene,Joint stiffness or tightness
Gas gangrene,Pain or soreness of breast
Gas gangrene,Knee lump or mass
Gas gangrene,Pain in eye
Gas gangrene,Fatigue
Yeast infection,Vaginal itching
Yeast infection,Vaginal discharge
Yeast infection,Skin rash
Yeast infection,Diaper rash
Yeast infection,Sharp abdominal pain
Yeast infection,Itching of skin
Yeast infection,Suprapubic pain
Yeast infection,Painful urination
Yeast infection,Frequent urination
Yeast infection,Problems during pregnancy
Yeast infection,Pelvic pain
Yeast infection,Vaginal pain
Spina bifida,Back pain
Spina bifida,Skin lesion
Spina bifida,Headache
Spina bifida,Involuntary urination
Spina bifida,Joint pain
Spina bifida,Disturbance of memory
Spina bifida,Drainage in throat
Spina bifida,Eye moves abnormally
Spina bifida,Feet turned in
Spina bifida,Ringing in ear
Spina bifida,Poor circulation
Spina bifida,Leg weakness
Drug poisoning due to medication,Depressive or psychotic symptoms
Drug poisoning due to medication,Depression
Drug poisoning due to medication,Drug abuse
Drug poisoning due to medication,Fainting
Drug poisoning due to medication,Abusing alcohol
Drug poisoning due to medication,Sleepiness
Drug poisoning due to medication,Slurring words
Drug poisoning due to medication,Allergic reaction
Drug poisoning due to medication,Fluid retention
Drug poisoning due to medication,Delusions or hallucinations
Drug poisoning due to medication,Lip swelling
Drug poisoning due to medication,Stiffness all over
Alcoholic liver disease,Sharp abdominal pain
Alcoholic liver disease,Abusing alcohol
Alcoholic liver disease,Peripheral edema
Alcoholic liver disease,Abdominal distention
Alcoholic liver disease,Diarrhea
Alcoholic liver disease,Abnormal involuntary movements
Alcoholic liver disease,Vomiting blood
Alcoholic liver disease,Blood in stool
Alcoholic liver disease,Upper abdominal pain
Alcoholic liver disease,Weight gain
Alcoholic liver disease,Stomach bloating
Alcoholic liver disease,Kidney mass
Malignant hypertension,Sharp chest pain
Malignant hypertension,Headache
Malignant hypertension,Shortness of breath
Malignant hypertension,Vomiting
Malignant hypertension,Depressive or psychotic symptoms
Malignant hypertension,Dizziness
Malignant hypertension,Seizures
Malignant hypertension,Loss of sensation
Malignant hypertension,Peripheral edema
Malignant hypertension,Insomnia
Malignant hypertension,Focal weakness
Malignant hypertension,Lower body pain
Diverticulitis,Sharp abdominal pain
Diverticulitis,Lower abdominal pain
Diverticulitis,Diarrhea
Diverticulitis,Nausea
Diverticulitis,Vomiting
Diverticulitis,Burning abdominal pain
Diverticulitis,Fever
Diverticulitis,Side pain
Diverticulitis,Blood in stool
Diverticulitis,Upper abdominal pain
Diverticulitis,Constipation
Diverticulitis,Chills
Moyamoya disease,Blindness
Moyamoya disease,Headache
Moyamoya disease,Depressive or psychotic symptoms
Moyamoya disease,Loss of sensation
Moyamoya disease,Seizures
Moyamoya disease,Itchy eyelid
Moyamoya disease,Wrist weakness
Moyamoya disease,Excessive growth
Moyamoya disease,Elbow cramps or spasms
Moyamoya disease,Elbow weakness
Moyamoya disease,Nailbiting
Moyamoya disease,Hip stiffness or tightness
Heat exhaustion,Dizziness
Heat exhaustion,Weakness
Heat exhaustion,Headache
Heat exhaustion,Fainting
Heat exhaustion,Vomiting
Heat exhaustion,Nausea
Heat exhaustion,Sharp chest pain
Heat exhaustion,Fluid retention
Heat exhaustion,Shortness of breath
Heat exhaustion,Leg cramps or spasms
Heat exhaustion,Feeling hot
Heat exhaustion,Sweating
Psychotic disorder,Depressive or psychotic symptoms
Psychotic disorder,Depression
Psychotic disorder,Delusions or hallucinations
Psychotic disorder,Anxiety and nervousness
Psychotic disorder,Hostile behavior
Psychotic disorder,Excessive anger
Psychotic disorder,Insomnia
Psychotic disorder,Drug abuse
Psychotic disorder,Fears and phobias
Psychotic disorder,Abusing alcohol
Psychotic disorder,Temper problems
Psychotic disorder,Hysterical behavior
Frostbite,Loss of sensation
Frostbite,Foot or toe pain
Frostbite,Ache all over
Frostbite,Hand or finger swelling
Frostbite,Sharp chest pain
Frostbite,Fainting
Frostbite,Back pain
Frostbite,Elbow cramps or spasms
Frostbite,Nailbiting
Frostbite,Low back weakness
Frostbite,Feeling hot and cold
Frostbite,Elbow weakness
Atrophy of the corpus cavernosum,Penis pain
Atrophy of the corpus cavernosum,Bumps on penis
Atrophy of the corpus cavernosum,Abnormal appearing skin
Atrophy of the corpus cavernosum,Skin growth
Atrophy of the corpus cavernosum,Impotence
Atrophy of the corpus cavernosum,Fever
Atrophy of the corpus cavernosum,Temper problems
Atrophy of the corpus cavernosum,Congestion in chest
Atrophy of the corpus cavernosum,Penis redness
Atrophy of the corpus cavernosum,Frequent urination
Atrophy of the corpus cavernosum,Penile discharge
Atrophy of the corpus cavernosum,Groin pain
Smoking or tobacco addiction,Smoking problems
Smoking or tobacco addiction,Cough
Smoking or tobacco addiction,Sharp chest pain
Smoking or tobacco addiction,Shortness of breath
Smoking or tobacco addiction,Headache
Smoking or tobacco addiction,Drug abuse
Smoking or tobacco addiction,Abusing alcohol
Smoking or tobacco addiction,Coughing up sputum
Smoking or tobacco addiction,Hurts to breath
Smoking or tobacco addiction,Excessive anger
Smoking or tobacco addiction,Sinus congestion
Smoking or tobacco addiction,Hemoptysis
Sprain or strain,Back pain
Sprain or strain,Neck pain
Sprain or strain,Ankle pain
Sprain or strain,Knee pain
Sprain or strain,Low back pain
Sprain or strain,Shoulder pain
Sprain or strain,Leg pain
Sprain or strain,Foot or toe pain
Sprain or strain,Headache
Sprain or strain,Wrist pain
Sprain or strain,Hand or finger pain
Sprain or strain,Arm pain
Essential tremor,Abnormal involuntary movements
Essential tremor,Problems with movement
Essential tremor,Headache
Essential tremor,Dizziness
Essential tremor,Seizures
Essential tremor,Loss of sensation
Essential tremor,Disturbance of memory
Essential tremor,Muscle pain
Essential tremor,Painful sinuses
Essential tremor,Arm stiffness or tightness
Essential tremor,Hoarse voice
Essential tremor,Fears and phobias
Open wound of the ear,Ear pain
Open wound of the ear,Bleeding from ear
Open wound of the ear,Fluid in ear
Open wound of the ear,Facial pain
Open wound of the ear,Disturbance of memory
Open wound of the ear,Symptoms of eye
Open wound of the ear,Dry lips
Open wound of the ear,Plugged feeling in ear
Open wound of the ear,Ringing in ear
Foreign body in the nose,Nasal congestion
Foreign body in the nose,Coughing up sputum
Foreign body in the nose,Nosebleed
Foreign body in the nose,Regurgitation
Foreign body in the nose,Redness in or around nose
Idiopathic painful menstruation,Painful menstruation
Idiopathic painful menstruation,Sharp abdominal pain
Idiopathic painful menstruation,Pelvic pain
Idiopathic painful menstruation,Heavy menstrual flow
Idiopathic painful menstruation,Lower abdominal pain
Idiopathic painful menstruation,Cramps and spasms
Idiopathic painful menstruation,Long menstrual periods
Idiopathic painful menstruation,Unpredictable menstruation
Idiopathic painful menstruation,Blood clots during menstrual periods
Idiopathic painful menstruation,Absence of menstruation
Idiopathic painful menstruation,Vaginal discharge
Idiopathic painful menstruation,Vaginal itching
Down syndrome,Fever
Down syndrome,Nasal congestion
Down syndrome,Cough
Down syndrome,Seizures
Down syndrome,Decreased appetite
Down syndrome,Lack of growth
Down syndrome,Temper problems
Down syndrome,Fluid in ear
Down syndrome,Apnea
Down syndrome,Difficulty speaking
Down syndrome,Difficulty in swallowing
Down syndrome,Infant feeding problem
Idiopathic infrequent menstruation,Unpredictable menstruation
Idiopathic infrequent menstruation,Painful menstruation
Idiopathic infrequent menstruation,Vaginal discharge
Idiopathic infrequent menstruation,Sharp abdominal pain
Idiopathic infrequent menstruation,Scanty menstrual flow
Idiopathic infrequent menstruation,Nausea
Idiopathic infrequent menstruation,Infrequent menstruation
Idiopathic infrequent menstruation,Infertility
Idiopathic infrequent menstruation,Absence of menstruation
Idiopathic infrequent menstruation,Pain or soreness of breast
Idiopathic infrequent menstruation,Frequent urination
Idiopathic infrequent menstruation,Retention of urine
Pneumothorax,Sharp chest pain
Pneumothorax,Shortness of breath
Pneumothorax,Shoulder pain
Pneumothorax,Difficulty breathing
Pneumothorax,Rib pain
Pneumothorax,Back pain
Pneumothorax,Cough
Pneumothorax,Side pain
Pneumothorax,Coughing up sputum
Pneumothorax,Drainage in throat
Pneumothorax,Drug abuse
Pneumothorax,Hurts to breath
De Quervain disease,Wrist pain
De Quervain disease,Hand or finger pain
De Quervain disease,Shoulder pain
De Quervain disease,Wrist swelling
De Quervain disease,Arm pain
De Quervain disease,Hand or finger swelling
De Quervain disease,Peripheral edema
De Quervain disease,Wrist stiffness or tightness
De Quervain disease,Abnormal involuntary movements
De Quervain disease,Lower body pain
Fracture of the vertebra,Back pain
Fracture of the vertebra,Low back pain
Fracture of the vertebra,Neck pain
Fracture of the vertebra,Hip pain
Fracture of the vertebra,Bones are painful
Fracture of the vertebra,Problems with movement
Fracture of the vertebra,Pelvic pain
Fracture of the vertebra,Leg stiffness or tightness
Fracture of the vertebra,Arm weakness
Fracture of the vertebra,Hand or finger stiffness or tightness
Fracture of the vertebra,Hip weakness
Fracture of the vertebra,Muscle stiffness or tightness
Human immunodeficiency virus infection (HIV),Drug abuse
Human immunodeficiency virus infection (HIV),Fears and phobias
Human immunodeficiency virus infection (HIV),Mouth pain
Human immunodeficiency virus infection (HIV),Nightmares
Mumps,Jaw swelling
Mumps,Ear pain
Mumps,Neck swelling
Mumps,Sore throat
Mumps,Fever
Mumps,Flu-like syndrome
Mumps,Swollen lymph nodes
Mumps,Fluid retention
Mumps,Nailbiting
Mumps,Shoulder swelling
Mumps,Eye strain
Mumps,Hip stiffness or tightness
Subarachnoid hemorrhage,Headache
Subarachnoid hemorrhage,Dizziness
Subarachnoid hemorrhage,Vomiting
Subarachnoid hemorrhage,Neck pain
Subarachnoid hemorrhage,Weakness
Subarachnoid hemorrhage,Fainting
Subarachnoid hemorrhage,Loss of sensation
Subarachnoid hemorrhage,Seizures
Subarachnoid hemorrhage,Symptoms of eye
Subarachnoid hemorrhage,Nosebleed
Subarachnoid hemorrhage,Bleeding from ear
Subarachnoid hemorrhage,Disturbance of memory
Acute fatty liver of pregnancy (AFLP),Pain during pregnancy
Acute fatty liver of pregnancy (AFLP),Sharp abdominal pain
Acute fatty liver of pregnancy (AFLP),Itching of skin
Acute fatty liver of pregnancy (AFLP),Eye strain
Acute fatty liver of pregnancy (AFLP),Wrist weakness
Acute fatty liver of pregnancy (AFLP),Itchy eyelid
Acute fatty liver of pregnancy (AFLP),Nailbiting
Acute fatty liver of pregnancy (AFLP),Hip stiffness or tightness
Acute fatty liver of pregnancy (AFLP),Elbow weakness
Acute fatty liver of pregnancy (AFLP),Elbow cramps or spasms
Acute fatty liver of pregnancy (AFLP),Emotional symptoms
Acute fatty liver of pregnancy (AFLP),Cross-eyed
Ectropion,Lacrimation
Ectropion,Pain in eye
Ectropion,Abnormal movement of eyelid
Ectropion,Symptoms of eye
Ectropion,Eye redness
Ectropion,Spots or clouds in vision
Ectropion,Eyelid lesion or rash
Ectropion,Foreign body sensation in eye
Ectropion,Swollen eye
Ectropion,Diminished vision
Ectropion,White discharge from eye
Ectropion,Itchiness of eye
Scar,Acne or pimples
Scar,Skin lesion
Scar,Abnormal appearing skin
Scar,Itching of skin
Scar,Skin growth
Scar,Skin moles
Scar,Skin dryne
Scar,Skin pain
Scar,Skin swelling
Scar,Mass on ear
Scar,Lump or mass of breast
Scar,Lip swelling
Lactose intolerance,Diarrhea
Lactose intolerance,Burning abdominal pain
Lactose intolerance,Headache
Lactose intolerance,Sharp abdominal pain
Lactose intolerance,Nasal congestion
Lactose intolerance,Shortness of breath
Lactose intolerance,Constipation
Lactose intolerance,Muscle pain
Lactose intolerance,Flatulence
Lactose intolerance,Weight gain
Lactose intolerance,Impotence
Lactose intolerance,Cramps and spasms
Eustachian tube dysfunction (ear disorder),Ear pain
Eustachian tube dysfunction (ear disorder),Diminished hearing
Eustachian tube dysfunction (ear disorder),Plugged feeling in ear
Eustachian tube dysfunction (ear disorder),Redness in ear
Eustachian tube dysfunction (ear disorder),Nasal congestion
Eustachian tube dysfunction (ear disorder),Sore throat
Eustachian tube dysfunction (ear disorder),Fluid in ear
Eustachian tube dysfunction (ear disorder),Dizziness
Eustachian tube dysfunction (ear disorder),Ringing in ear
Eustachian tube dysfunction (ear disorder),Abnormal breathing sounds
Eustachian tube dysfunction (ear disorder),Allergic reaction
Eustachian tube dysfunction (ear disorder),Swollen or red tonsils
Appendicitis,Sharp abdominal pain
Appendicitis,Lower abdominal pain
Appendicitis,Vomiting
Appendicitis,Nausea
Appendicitis,Fever
Appendicitis,Burning abdominal pain
Appendicitis,Side pain
Appendicitis,Diarrhea
Appendicitis,Upper abdominal pain
Appendicitis,Chills
Appendicitis,Decreased appetite
Appendicitis,Stomach bloating
Graves disease,Dizziness
Graves disease,Fatigue
Graves disease,Palpitations
Graves disease,Sweating
Graves disease,Abnormal involuntary movements
Graves disease,Weight gain
Graves disease,Leg cramps or spasms
Graves disease,Irregular heartbeat
Graves disease,Involuntary urination
Graves disease,Foot or toe swelling
Graves disease,Muscle cram
Graves disease,Hemoptysis
Dissociative disorder,Depressive or psychotic symptoms
Dissociative disorder,Anxiety and nervousness
Dissociative disorder,Depression
Dissociative disorder,Low self-esteem
Dissociative disorder,Excessive anger
Dissociative disorder,Disturbance of memory
Dissociative disorder,Delusions or hallucinations
Dissociative disorder,Back weakness
Dissociative disorder,Muscle swelling
Dissociative disorder,Elbow cramps or spasms
Dissociative disorder,Pus in urine
Dissociative disorder,Low back weakness
Open wound of the face,Facial pain
Open wound of the face,Leg stiffness or tightness
Open wound of the face,Feeling hot
Open wound of the face,Jaw swelling
Open wound of the face,Symptoms of the kidneys
Open wound of the face,Wrist swelling
Open wound of the face,Neck swelling
Open wound of the face,Redness in or around nose
Open wound of the face,Eyelid swelling
Dislocation of the vertebra,Neck pain
Dislocation of the vertebra,Back pain
Dislocation of the vertebra,Low back pain
Dislocation of the vertebra,Bones are painful
Dislocation of the vertebra,Hand or finger pain
Dislocation of the vertebra,Leg pain
Dislocation of the vertebra,Loss of sensation
Dislocation of the vertebra,Arm pain
Dislocation of the vertebra,Elbow weakness
Dislocation of the vertebra,Excessive growth
Dislocation of the vertebra,Feeling hot and cold
Dislocation of the vertebra,Wrist weakness
Phimosis,Penis pain
Phimosis,Penis redness
Phimosis,Retention of urine
Phimosis,Painful urination
Phimosis,Blood in urine
Phimosis,Penile discharge
Phimosis,Bumps on penis
Phimosis,Thirst
Phimosis,Symptoms of the scrotum and testes
Phimosis,Impotence
Phimosis,Itchiness of eye
Hyperemesis gravidarum,Vomiting
Hyperemesis gravidarum,Nausea
Hyperemesis gravidarum,Problems during pregnancy
Hyperemesis gravidarum,Sharp abdominal pain
Hyperemesis gravidarum,Pain during pregnancy
Hyperemesis gravidarum,Diarrhea
Hyperemesis gravidarum,Burning abdominal pain
Hyperemesis gravidarum,Dizziness
Hyperemesis gravidarum,Headache
Hyperemesis gravidarum,Weakness
Hyperemesis gravidarum,Vomiting blood
Hyperemesis gravidarum,Upper abdominal pain
Pregnancy,Uterine contractions
Pregnancy,Pain during pregnancy
Pregnancy,Problems during pregnancy
Pregnancy,Spotting or bleeding during pregnancy
Pregnancy,Cramps and spasms
Pregnancy,Pelvic pressure
Thalassemia,Congestion in chest
Thalassemia,Insomnia
Thalassemia,Fatigue
Thalassemia,Regurgitation
Thalassemia,Coryza
Thalassemia,Knee swelling
Thalassemia,Diminished vision
Thalassemia,Pain in testicles
Thalassemia,Arm pain
Thalassemia,Muscle swelling
Thalassemia,Low back weakness
Thalassemia,Elbow weakness
Placenta previa,Spotting or bleeding during pregnancy
Placenta previa,Pain during pregnancy
Placenta previa,Cramps and spasms
Placenta previa,Uterine contractions
Placenta previa,Delusions or hallucinations
Placenta previa,Problems during pregnancy
Placenta previa,Involuntary urination
Placenta previa,Vaginal discharge
Epidural hemorrhage,Back pain
Epidural hemorrhage,Depressive or psychotic symptoms
Epidural hemorrhage,Side pain
Epidural hemorrhage,Dizziness
Epidural hemorrhage,Leg pain
Epidural hemorrhage,Diminished hearing
Epidural hemorrhage,Elbow weakness
Epidural hemorrhage,Excessive growth
Epidural hemorrhage,Low back weakness
Epidural hemorrhage,Feeling hot and cold
Epidural hemorrhage,Wrist weakness
Epidural hemorrhage,Emotional symptoms
Septic arthritis,Knee pain
Septic arthritis,Knee swelling
Septic arthritis,Fever
Septic arthritis,Leg pain
Septic arthritis,Problems with movement
Septic arthritis,Hand or finger pain
Septic arthritis,Elbow pain
Septic arthritis,Feeling ill
Septic arthritis,Skin on arm or hand looks infected
Septic arthritis,Hip pain
Septic arthritis,Abnormal appearing skin
Septic arthritis,Elbow swelling
Athlete's foot,Skin rash
Athlete's foot,Foot or toe pain
Athlete's foot,Skin lesion
Athlete's foot,Itching of skin
Athlete's foot,Skin dryne
Athlete's foot,Skin on leg or foot looks infected
Athlete's foot,Abnormal appearing skin
Athlete's foot,Foot or toe swelling
Athlete's foot,Skin irritation
Athlete's foot,Irregular appearing nails
Athlete's foot,Skin swelling
Athlete's foot,Irregular appearing scalp
Pleural effusion,Sharp chest pain
Pleural effusion,Shortness of breath
Pleural effusion,Cough
Pleural effusion,Difficulty breathing
Pleural effusion,Hurts to breath
Pleural effusion,Back pain
Pleural effusion,Rib pain
Pleural effusion,Fever
Pleural effusion,Sharp abdominal pain
Pleural effusion,Drainage in throat
Pleural effusion,Weakness
Pleural effusion,Side pain
Aphakia,Diminished vision
Aphakia,Symptoms of eye
Aphakia,Pain in eye
Aphakia,Eye redness
Aphakia,Itchiness of eye
Aphakia,Spots or clouds in vision
Aphakia,Eye burns or stings
Aphakia,Mass on eyelid
Vulvar disorder,Skin lesion
Vulvar disorder,Vaginal discharge
Vulvar disorder,Vulvar irritation
Vulvar disorder,Vulvar sore
Vulvar disorder,Vaginal pain
Vulvar disorder,Skin growth
Vulvar disorder,Vaginal itching
Vulvar disorder,Painful urination
Vulvar disorder,Pain during intercourse
Vulvar disorder,Pelvic pain
Vulvar disorder,Lump or mass of breast
Vulvar disorder,Skin dryne
Vitamin B deficiency,Dizziness
Vitamin B deficiency,Elbow pain
Vitamin B deficiency,Allergic reaction
Vitamin B deficiency,Difficulty speaking
Vitamin B deficiency,Headache
Vitamin B deficiency,Muscle cram
Vitamin B deficiency,Vomiting
Vitamin B deficiency,Cough
Vitamin B deficiency,Nausea
Vitamin B deficiency,Knee pain
Vitamin B deficiency,Abnormal involuntary movements
Vitamin B deficiency,Hip pain
Sialoadenitis,Peripheral edema
Sialoadenitis,Facial pain
Sialoadenitis,Swollen lymph nodes
Sialoadenitis,Ear pain
Sialoadenitis,Jaw swelling
Sialoadenitis,Neck mass
Sialoadenitis,Neck swelling
Sialoadenitis,Sore throat
Sialoadenitis,Neck pain
Sialoadenitis,Cough
Sialoadenitis,Difficulty in swallowing
Sialoadenitis,Nasal congestion
Gynecomastia,Problems with shape or size of breast
Gynecomastia,Lump or mass of breast
Gynecomastia,Back pain
Gynecomastia,Pain or soreness of breast
Gynecomastia,Neck pain
Gynecomastia,Weight gain
Gynecomastia,Skin swelling
Gynecomastia,Bones are painful
Gynecomastia,Irregular belly button
Urinary tract infection,Painful urination
Urinary tract infection,Suprapubic pain
Urinary tract infection,Sharp abdominal pain
Urinary tract infection,Frequent urination
Urinary tract infection,Fever
Urinary tract infection,Vomiting
Urinary tract infection,Back pain
Urinary tract infection,Nausea
Urinary tract infection,Blood in urine
Urinary tract infection,Side pain
Urinary tract infection,Retention of urine
Urinary tract infection,Lower abdominal pain
Histoplasmosis,Lacrimation
Histoplasmosis,Ache all over
Histoplasmosis,Cough
Histoplasmosis,Double vision
Histoplasmosis,Eye redness
Histoplasmosis,Decreased appetite
Histoplasmosis,Diminished vision
Histoplasmosis,Elbow cramps or spasms
Histoplasmosis,Elbow weakness
Histoplasmosis,Excessive growth
Histoplasmosis,Low back weakness
Histoplasmosis,Feeling hot and cold
Erythema multiforme,Skin rash
Erythema multiforme,Fever
Erythema multiforme,Itching of skin
Erythema multiforme,Coryza
Erythema multiforme,Skin lesion
Erythema multiforme,Vomiting
Erythema multiforme,Mouth ulcer
Erythema multiforme,Skin pain
Erythema multiforme,Pain in eye
Erythema multiforme,Fluid retention
Erythema multiforme,Allergic reaction
Erythema multiforme,Difficulty in swallowing
Scoliosis,Back pain
Scoliosis,Low back pain
Scoliosis,Leg pain
Scoliosis,Problems with movement
Scoliosis,Lower body pain
Scoliosis,Leg weakness
Scoliosis,Knee swelling
Scoliosis,Unusual color or odor to urine
Scoliosis,Knee stiffness or tightness
Scoliosis,Foot or toe stiffness or tightness
Scoliosis,Muscle cram
Scoliosis,Stomach bloating
Bunion,Foot or toe pain
Bunion,Foot or toe lump or mass
Bunion,Knee pain
Bunion,Problems with movement
Bunion,Skin on leg or foot looks infected
Bunion,Skin moles
Bunion,Leg swelling
Bunion,Stiffness all over
Bunion,Skin growth
Bunion,Pain or soreness of breast
Bunion,Skin irritation
Bunion,Foot or toe swelling
Arrhythmia,Palpitations
Arrhythmia,Sharp chest pain
Arrhythmia,Dizziness
Arrhythmia,Irregular heartbeat
Arrhythmia,Increased heart rate
Arrhythmia,Shortness of breath
Arrhythmia,Difficulty breathing
Arrhythmia,Fainting
Arrhythmia,Weakness
Arrhythmia,Chest tightness
Arrhythmia,Fatigue
Arrhythmia,Leg cramps or spasms
Paget disease,Abnormal breathing sounds
Paget disease,Back pain
Paget disease,Apnea
Paget disease,Low back pain
Paget disease,Frequent urination
Paget disease,Sleepiness
Paget disease,Abnormal appearing skin
Paget disease,Ache all over
Paget disease,Ringing in ear
Paget disease,Delusions or hallucinations
Paget disease,Elbow cramps or spasms
Paget disease,Nailbiting
Trigeminal neuralgia,Facial pain
Trigeminal neuralgia,Headache
Trigeminal neuralgia,Dizziness
Trigeminal neuralgia,Loss of sensation
Trigeminal neuralgia,Symptoms of the face
Trigeminal neuralgia,Ache all over
Trigeminal neuralgia,Pain in eye
Trigeminal neuralgia,Toothache
Trigeminal neuralgia,Paresthesia
Trigeminal neuralgia,Abnormal involuntary movements
Trigeminal neuralgia,Swollen eye
