Disease,Medication
Uveitis,Brimonidine-Timolol Ophthalmic
Uveitis,Brinzolamide Ophthalmic
Uveitis,Nepafenac Ophthalmic
Uveitis,Infliximab (Remicade)
Uveitis,Proparacaine Ophthalmic
Uveitis,Atropine (Uaa)
Uveitis,Prednisolone Ophthalmic
Uveitis,Clotrimazole Topical
Fracture of the facial bones,Tetanus Toxoid Vaccine (Adacel)
Fracture of the facial bones,Oxymetazoline Nasal
Fracture of the facial bones,Cefazolin
Fracture of the facial bones,Desflurane
Fracture of the facial bones,Cyclopentolate Ophthalmic
Fracture of the facial bones,Sterile Water
Fracture of the facial bones,Bacitracin Topical
Fracture of the facial bones,Hexachlorophene Topical
Fracture of the facial bones,Cocaine Topical
Fracture of the facial bones,Scopolamine
Fracture of the facial bones,Diphtheria Toxoid Vaccine (Prohibit)
Tracheitis,Guaifenesin (Mucinex)
Tracheitis,Clarithromycin
Tracheitis,Prednisolone
Tracheitis,Levalbuterol (Xopenex)
Tracheitis,Benzonatate
Tracheitis,Budesonide
Tracheitis,Moxifloxacin (Avelox)
Tracheitis,Levodopa
Tracheitis,Ceftazidime
Tracheitis,Carbidopa
Jaw disorder,Penicillin
Jaw disorder,Clindamycin
Jaw disorder,Chlorhexidine Topical
Jaw disorder,Benzoin Topical
Jaw disorder,Tetanus Immune Globul
Jaw disorder,Methenamine
Jaw disorder,Aztreonam
Jaw disorder,Voriconazole
Jaw disorder,Desflurane
Jaw disorder,Chlorpheniramine (C.P.M.)
Perirectal infection,Clindamycin
Perirectal infection,Zosyn
Perirectal infection,Magnesium Sulfate
Perirectal infection,Nitrofurazone Topical
Perirectal infection,Diflorasone Topical
Perirectal infection,Insul
Perirectal infection,Pramoxine Topical
Perirectal infection,Halobetasol Topical
Perirectal infection,Paricalcitol (Zemplar)
Perirectal infection,Ferrous Sulfate
Perirectal infection,Diphtheria Toxoid Vaccine (Prohibit)
Perirectal infection,Sirolimus
Breast cyst,Triamterene
Breast cyst,Telmisartan (Micardis)
Breast cyst,Imipramine
Breast cyst,Amantadine
Breast cyst,Norethindrone (Loestrin Fe)
Breast cyst,Eletriptan (Relpax)
Breast cyst,Primidone
Breast cyst,Terbinafine Topical
Post-traumatic stress disorder (PTSD),Clonazepam
Post-traumatic stress disorder (PTSD),Quetiapine (Seroquel)
Post-traumatic stress disorder (PTSD),Trazodone
Post-traumatic stress disorder (PTSD),Bupropion (Wellbutrin)
Post-traumatic stress disorder (PTSD),Fluoxetine (Prozac)
Post-traumatic stress disorder (PTSD),Risperidone
Post-traumatic stress disorder (PTSD),Lamotrigine (Lamictal)
Post-traumatic stress disorder (PTSD),Aripiprazole (Abilify)
Post-traumatic stress disorder (PTSD),Mirtazapine
Post-traumatic stress disorder (PTSD),Lithium (Li)
Post-traumatic stress disorder (PTSD),Olanzapine (Zyprexa)
Post-traumatic stress disorder (PTSD),Eszopiclone (Lunesta)
Post-traumatic stress disorder (PTSD),Oxcarbazepine (Trileptal)
Kidney cancer,Sunitinib (Sutent)
Kidney cancer,Temsirolimus
Kidney cancer,Vincristine
Kidney cancer,Zoledronic Acid (Reclast)
Kidney cancer,Everolimus (Afinitor)
Kidney cancer,Filgrastim (Neupogen)
Kidney cancer,Doxorubicin
Kidney cancer,Travoprost (Travatan)
Kidney cancer,Dactinomycin
Kidney cancer,Sorafenib
Kidney cancer,Ioversol
Kidney cancer,Midodrine
Kidney cancer,Pentoxifylline
Vulvar cancer,Docusate (Colace)
Vulvar cancer,Polyethylene Glycol 3350 (Miralax)
Vulvar cancer,Hydroxychloroquine (Plaquenil)
Vulvar cancer,Sennosid
Vulvar cancer,Estradiol
Vulvar cancer,Tiotropium (Spiriva)
Vulvar cancer,Estroge
Vulvar cancer,Doxylamine (Unisom)
Vulvar cancer,Acebutolol
Vulvar cancer,Fenofibric Acid (Trilipix)
Vulvar cancer,Dicloxacillin
Blepharitis,Erythromycin
Blepharitis,Bimatoprost Ophthalmic
Blepharitis,Tropicamide Ophthalmic
Blepharitis,Phenylephrine (Duramax)
Blepharitis,Latanoprost
Blepharitis,Azithromycin Ophthalmic
Blepharitis,Erythromycin Ophthalmic
Blepharitis,Brimonidine Ophthalmic
Blepharitis,Ocular Lubricant
Blepharitis,Dexamethasone-Tobramycin Ophthalmic
Blepharitis,Loteprednol-Tobramycin Ophthalmic
Blepharitis,Prednisolone-Sodium Sulfacetamide Ophthalmic
Blepharitis,Fluorometholone Ophthalmic
Celiac disease,Dicyclomine
Celiac disease,Insul
Celiac disease,Glucagon
Celiac disease,Estradiol
Celiac disease,Carbenicillin
Celiac disease,Disopyramide
Celiac disease,Nitroprusside
Celiac disease,Aloe Vera Topical
Celiac disease,Ketotifen Ophthalmic
Celiac disease,Nizatidine (Axid)
Cystitis,Ciprofloxacin
Cystitis,Phenazopyridine (Azo)
Cystitis,Bactrim
Cystitis,Nitrofurantoin
Cystitis,Pentosan Polysulphate Sodium (Elmiron)
Cystitis,Trimethoprim
Cystitis,Solifenacin (Vesicare)
Cystitis,Darifenacin (Enablex)
Cystitis,Dimethyl Sulfoxide Topical
Cystitis,Dexlansoprazole (Dexilant)
Cystitis,Silver Protein Mild Topical
Cystitis,Flavoxate (Urispas)
Cystitis,Oxacillin
Sickle cell anemia,Folic Acid
Sickle cell anemia,Hydroxyurea
Sickle cell anemia,Penicillin
Sickle cell anemia,Deferasirox (Exjade)
Sickle cell anemia,Deferoxamine
Sickle cell anemia,Nelfinavir (Viracept)
Sickle cell anemia,Pirbuterol (Maxair)
Sickle cell anemia,Benzylpenicilloyl Polylysine (Pre-Pen)
Sickle cell anemia,Zidovudine
Sickle cell anemia,Lamivudine
Sickle cell anemia,Factor Viii
Sickle cell anemia,Mesna
Sickle cell anemia,Collagen Topical
Subconjunctival hemorrhage,Tetracaine (One Touch)
Subconjunctival hemorrhage,Fluorescein Ophthalmic
Subconjunctival hemorrhage,Prednisolone Ophthalmic
Subconjunctival hemorrhage,Proparacaine Ophthalmic
Subconjunctival hemorrhage,Gentamicin Ophthalmic
Subconjunctival hemorrhage,Sodium Sulfacetamide Ophthalmic
Subconjunctival hemorrhage,Erythromycin Ophthalmic
Subconjunctival hemorrhage,Atropine (Uaa)
Subconjunctival hemorrhage,Cyclopentolate Ophthalmic
Subconjunctival hemorrhage,Tobramycin Ophthalmic
Subconjunctival hemorrhage,Ciprofloxacin Ophthalmic
Subconjunctival hemorrhage,Suprofen Ophthalmic
Subconjunctival hemorrhage,Homatropine Ophthalmic
Hemorrhoids,Midazolam (Versed)
Hemorrhoids,Docusate (Colace)
Hemorrhoids,Hydrocortisone Topical
Hemorrhoids,Fentanyl
Hemorrhoids,Meperidine (Demerol)
Hemorrhoids,Psyllium
Hemorrhoids,Hydrocortisone-Pramoxine Topical
Hemorrhoids,Hydrocortisone
Hemorrhoids,Pramoxine Topical
Hemorrhoids,Methylcellulose (Citrucel)
Hemorrhoids,Calcium Polycarbophil (Fibercon)
Hemorrhoids,Dibucaine Topical
Hemorrhoids,Peri-Colace
Contact dermatitis,Hydrocortisone Topical
Contact dermatitis,Triamcinolone
Contact dermatitis,Hydroxyzine
Contact dermatitis,Triamcinolone Topical Product
Contact dermatitis,Clobetasol Topical
Contact dermatitis,Fluocinonide Topical
Contact dermatitis,Petrolatum Topical
Contact dermatitis,Betamethasone Topical Product
Contact dermatitis,Desonide Topical
Contact dermatitis,Pimecrolimus Topical
Contact dermatitis,Betamethasone-Clotrimazole Topical
Contact dermatitis,Desoximetasone Topical
Contact dermatitis,Cortisone
Sinus bradycardia,Adenosine
Sinus bradycardia,Atropine (Uaa)
Sinus bradycardia,Propafenone
Sinus bradycardia,Nebivolol (Bystolic)
Sinus bradycardia,Sotalol
Sinus bradycardia,Isoproterenol
Sinus bradycardia,Flecainide
Sinus bradycardia,Glucagon
Sinus bradycardia,Midodrine
Sinus bradycardia,Dopamine
Sinus bradycardia,Ibutilide
Sinus bradycardia,Methylcellulose (Citrucel)
Sinus bradycardia,Desipramine
High blood pressure,Hydrochlorothiazide
High blood pressure,Amlodipine
High blood pressure,Olmesartan (Benicar)
High blood pressure,Benazepril
High blood pressure,Quinapril
Pelvic inflammatory disease,Doxycycline
Pelvic inflammatory disease,Ceftriaxone
Pelvic inflammatory disease,Metronidazole
Pelvic inflammatory disease,Cefoxitin
Pelvic inflammatory disease,Iohexol (Omnipaque)
Pelvic inflammatory disease,Diatrizoate
Pelvic inflammatory disease,Ampicillin
Pelvic inflammatory disease,Metronidazole Topical Product
Pelvic inflammatory disease,Miconazole Topical Product
Pelvic inflammatory disease,Neostigmine
Pelvic inflammatory disease,Cefixime (Suprax)
Pelvic inflammatory disease,Gentamicins (Gentamicin)
Pelvic inflammatory disease,Droperidol
Liver disease,Spironolactone
Liver disease,Lactulose
Liver disease,Ursodiol (Urso)
Liver disease,Nadolol
Liver disease,Tacrolimus (Prograf)
Liver disease,Ritonavir (Norvir)
Liver disease,Lamivudine
Liver disease,Atazanavir (Reyataz)
Liver disease,Kaletra
Liver disease,Stavudine (Zerit)
Liver disease,Pancreatin
Liver disease,Zidovudine
Liver disease,Abacavir
Chronic constipation,Polyethylene Glycol 3350 (Miralax)
Chronic constipation,Docusate (Colace)
Chronic constipation,Magnesium Citrate
Chronic constipation,Bisacodyl (The Magic Bullet)
Chronic constipation,Lactulose
Chronic constipation,Glycerin (Fleet)
Chronic constipation,Psyllium
Chronic constipation,Sennosid
Chronic constipation,Mineral Oil (Stye)
Chronic constipation,Guar Gum
Chronic constipation,Benzylpenicilloyl Polylysine (Pre-Pen)
Chronic constipation,Lubiprostone (Amitiza)
Thyroid cancer,Thyroxine (Synthroid)
Thyroid cancer,Triiodothyronine (Cytomel)
Thyroid cancer,Risedronate (Actonel)
Thyroid cancer,Thyroid (Usp) (Armour Thyroid)
Thyroid cancer,Paricalcitol (Zemplar)
Thyroid cancer,Doxorubicin
Thyroid cancer,Carboplatin
Thyroid cancer,Miglitol (Glyset)
Thyroid cancer,Thyrotropin Alfa (Usp) (Thyrogen)
Thyroid cancer,Eflornithine Topical
Thyroid cancer,Sunitinib (Sutent)
Flu,Oseltamivir (Tamiflu)
Flu,Robitussin Ac
Flu,Robitussin Dm
Flu,Zanamivir (Relenza)
Flu,Amantadine
Flu,Rimantadine
Friedrich ataxia,Fluticasone Nasal Product
Friedrich ataxia,Albuterol
Friedrich ataxia,Oxcarbazepine (Trileptal)
Friedrich ataxia,Sildenafil (Viagra)
Friedrich ataxia,Polyethylene Glycol 3350 (Miralax)
Friedrich ataxia,Digoxin
Friedrich ataxia,Omeprazole
Friedrich ataxia,Air
Friedrich ataxia,Mecamylamine
Friedrich ataxia,Troleandomycin
Friedrich ataxia,Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)
Friedrich ataxia,Pipecuronium (Arduan)
Tic (movement) disorder,Clonidine
Tic (movement) disorder,Guanfacine (Intuniv)
Tic (movement) disorder,Methylphenidate
Tic (movement) disorder,Risperidone
Tic (movement) disorder,Dexmethylphenidate (Focalin)
Tic (movement) disorder,Atomoxetine (Strattera)
Tic (movement) disorder,Oxcarbazepine (Trileptal)
Tic (movement) disorder,Mebendazole
Tic (movement) disorder,Clomipramine
Tic (movement) disorder,Fludrocortisone
Tic (movement) disorder,Paliperidone (Invega)
Tic (movement) disorder,Fluvoxamine (Luvox)
Skin polyp,Tretinoin Topical
Skin polyp,Benzoyl Peroxide Topical
Skin polyp,Ciclopirox Topical
Skin polyp,Salicylic Acid Topical
Skin polyp,Aluminum Chloride Hexahydrate Topical
Skin polyp,Hydroquinone Topical
Skin polyp,Adapalene Topical
Skin polyp,Benzoyl Peroxide-Clindamycin Topical
Skin polyp,Desoximetasone Topical
Skin polyp,Imiquimod Topical
Skin polyp,Azelaic Acid Topical
Skin polyp,Tazarotene Topical
Brachial neuritis,Carisoprodol (Soma)
Brachial neuritis,Metaxalone (Skelaxin)
Brachial neuritis,Piroxicam
Brachial neuritis,Flurazepam
Brachial neuritis,Oxymorphone (Opana)
Brachial neuritis,Pentosan Polysulphate Sodium (Elmiron)
Brachial neuritis,Quinine
Brachial neuritis,Bilberry Extract
Brachial neuritis,Mefloquine
Cervical cancer,Potassium Chloride
Cervical cancer,Ortho Cyclen
Cervical cancer,Cisplatin
Cervical cancer,Acetic Acid Topical
Cervical cancer,Paclitaxel (Taxol)
Cervical cancer,Midrin
Cervical cancer,Norethindrone (Loestrin Fe)
Cervical cancer,Pegfilgrastim (Neulasta)
Cervical cancer,Magnesium Hydroxide (M.A.H.)
Adrenal adenoma,Phenoxybenzamine
Adrenal adenoma,Rabeprazole (Aciphex)
Adrenal adenoma,Polyethylene Glycol 3350 (Miralax)
Adrenal adenoma,Ferrous Sulfate
Adrenal adenoma,Peginterferon Alfa-2B (Sylatron)
Adrenal adenoma,Ribavirin
Adrenal adenoma,Calcium-Vitamin D
Adrenal adenoma,Tacrolimus (Prograf)
Adrenal adenoma,Bisacodyl (The Magic Bullet)
Adrenal adenoma,Fosinopril
Adrenal adenoma,Rosiglitazone (Avandia)
Esophagitis,Omeprazole
Esophagitis,Pantoprazole
Esophagitis,Lansoprazole (Prevacid)
Esophagitis,Midazolam (Versed)
Esophagitis,Sucralfate (Carafate)
Esophagitis,Simethicone (Degas)
Esophagitis,Benzocaine Topical
Esophagitis,Propofol
Esophagitis,Rabeprazole (Aciphex)
Esophagitis,Glucagon
Gas gangrene,Meropenem
Gas gangrene,Air
Gas gangrene,Mecamylamine
Gas gangrene,Troleandomycin
Gas gangrene,Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)
Gas gangrene,Pipecuronium (Arduan)
Gas gangrene,Grepafloxacin (Raxar)
Gas gangrene,Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)
Gas gangrene,Iopanoic Acid
Gas gangrene,Conjugated Estrogens Topical
Gas gangrene,Malathion Topical
Gas gangrene,Gemtuzumab (Mylotarg)
Yeast infection,Fluconazole (Diflucan)
Yeast infection,Nystatin Topical Product
Yeast infection,Clotrimazole Topical
Yeast infection,Miconazole Topical Product
Yeast infection,Terconazole Topical
Yeast infection,Ortho Cyclen
Yeast infection,Betamethasone-Clotrimazole Topical
Yeast infection,Portia
Yeast infection,Butoconazole Topical
Yeast infection,Zinc Oxide Topical
Yeast infection,Pentosan Polysulphate Sodium (Elmiron)
Yeast infection,Selenium Sulfide Topical
Spina bifida,Oxybutynin
Spina bifida,Polyethylene Glycol 3350 (Miralax)
Spina bifida,Budesonide
Spina bifida,Sennosid
Spina bifida,Guar Gum
Spina bifida,Oxcarbazepine (Trileptal)
Spina bifida,Tobramycin (Tobi)
Spina bifida,Epoetin Alfa (Procrit)
Spina bifida,Cromolyn (Viz-On)
Spina bifida,Somatropin
Spina bifida,Cellulose
Spina bifida,Calcium Acetate
Spina bifida,Simethicone (Degas)
Drug poisoning due to medication,Charcoal
Drug poisoning due to medication,Naloxone (Suboxone)
Drug poisoning due to medication,Haloperidol
Drug poisoning due to medication,Acetylcysteine
Drug poisoning due to medication,Sodium Bicarbonate
Drug poisoning due to medication,Lamivudine
Drug poisoning due to medication,Thiamine
Drug poisoning due to medication,Flumazenil
Drug poisoning due to medication,Stavudine (Zerit)
Drug poisoning due to medication,Kaletra
Drug poisoning due to medication,Magnesium Sulfate
Drug poisoning due to medication,Ritonavir (Norvir)
Drug poisoning due to medication,Sorbitol
Alcoholic liver disease,Furosemide
Alcoholic liver disease,Spironolactone
Alcoholic liver disease,Lactulose
Alcoholic liver disease,Folic Acid
Alcoholic liver disease,Pantoprazole
Alcoholic liver disease,Thiamine
Alcoholic liver disease,Propranolol
Alcoholic liver disease,Digoxin
Alcoholic liver disease,Nadolol
Alcoholic liver disease,Octreotide
Alcoholic liver disease,Midodrine
Alcoholic liver disease,Zinc Sulfate
Alcoholic liver disease,Tacrolimus (Prograf)
Malignant hypertension,Labetalol
Malignant hypertension,Nitroglycerin
Malignant hypertension,Clonidine
Malignant hypertension,Hydralazine
Malignant hypertension,Nicardipine
Malignant hypertension,Nitroprusside
Malignant hypertension,Mexiletine
Malignant hypertension,Estropipate (Ogen)
Diverticulitis,Metronidazole
Diverticulitis,Ciprofloxacin
Diverticulitis,Levofloxacin (Levaquin)
Diverticulitis,Zosyn
Diverticulitis,Diatrizoate
Diverticulitis,Iohexol (Omnipaque)
Diverticulitis,Psyllium
Diverticulitis,Barium Sulfate
Diverticulitis,Iopamidol (Isovue)
Diverticulitis,Sulfamethoxazole (Bactrim)
Diverticulitis,Besifloxacin Ophthalmic
Diverticulitis,Ertapenem
Moyamoya disease,Aspirin
Moyamoya disease,Carbamazepine
Moyamoya disease,Risperidone
Moyamoya disease,Folic Acid
Moyamoya disease,Scopolamine
Moyamoya disease,Hydroxyurea
Moyamoya disease,Glycopyrrolate
Moyamoya disease,Zonisamide
Moyamoya disease,Chlorhexidine Topical
Moyamoya disease,Metaxalone (Skelaxin)
Moyamoya disease,Labetalol
Moyamoya disease,Levetiracetam (Keppra)
Heat exhaustion,Potassium Bicarbonate
Heat exhaustion,Buprenorphine (Suboxone)
Heat exhaustion,Naloxone (Suboxone)
Heat exhaustion,Sodium Bicarbonate
Psychotic disorder,Risperidone
Psychotic disorder,Quetiapine (Seroquel)
Psychotic disorder,Aripiprazole (Abilify)
Psychotic disorder,Olanzapine (Zyprexa)
Psychotic disorder,Haloperidol
Psychotic disorder,Divalproex Sodium (Depakote)
Psychotic disorder,Methylphenidate
Psychotic disorder,Benztropine
Psychotic disorder,Ziprasidone (Geodon)
Psychotic disorder,Oxcarbazepine (Trileptal)
Psychotic disorder,Lithium (Li)
Psychotic disorder,Atomoxetine (Strattera)
Psychotic disorder,Dexmethylphenidate (Focalin)
Frostbite,Silver Sulfadiazine Topical
Frostbite,Digoxin
Frostbite,Amiodarone
Frostbite,Oxybutynin
Frostbite,Glyburide
Frostbite,Tetanus Toxoid Vaccine (Adacel)
Frostbite,Mecamylamine
Frostbite,Grepafloxacin (Raxar)
Frostbite,Malathion Topical
Frostbite,Gemtuzumab (Mylotarg)
Frostbite,Gadoteridol (Prohance)
Atrophy of the corpus cavernosum,Oxybutynin
Atrophy of the corpus cavernosum,Sildenafil (Viagra)
Atrophy of the corpus cavernosum,Haemophilus B Conjugate Vaccine (Obsolete)
Atrophy of the corpus cavernosum,Measles Vaccine
Atrophy of the corpus cavernosum,Cefixime (Suprax)
Atrophy of the corpus cavernosum,Lidocaine-Prilocaine Topical
Atrophy of the corpus cavernosum,Cefprozil
Atrophy of the corpus cavernosum,Testosterone
Atrophy of the corpus cavernosum,Dutasteride (Avodart)
Smoking or tobacco addiction,Varenicline (Chantix)
Smoking or tobacco addiction,Nicotine
Smoking or tobacco addiction,Emtricitabine
Smoking or tobacco addiction,Magnesium Hydroxide (M.A.H.)
Smoking or tobacco addiction,Capsaicin Topical
Smoking or tobacco addiction,Rapacuronium
Smoking or tobacco addiction,Etravirine (Intelence)
Smoking or tobacco addiction,Docosanol Topical
Sprain or strain,Cyclobenzaprine
Sprain or strain,Methocarbamol
Sprain or strain,Metaxalone (Skelaxin)
Sprain or strain,Orphenadrine (Flexon)
Sprain or strain,Ketoprofen
Sprain or strain,Diflunisal
Essential tremor,Primidone
Essential tremor,Propranolol
Essential tremor,Gabapentin
Essential tremor,Topiramate (Topamax)
Essential tremor,Trihexyphenidyl (Artane)
Essential tremor,Amantadine
Essential tremor,Torsemide
Essential tremor,Pramipexole (Mirapex)
Essential tremor,Protriptyline
Open wound of the ear,Cephalexin
Open wound of the ear,Bacitracin (Septa)
Open wound of the ear,Tetanus Toxoid Vaccine (Adacel)
Open wound of the ear,Cefazolin
Open wound of the ear,Povidone Iodine Topical (Betadine)
Open wound of the ear,Ofloxacin
Open wound of the ear,Neomycin (Septa)
Open wound of the ear,Ketamine
Open wound of the ear,Demeclocycline
Open wound of the ear,Lidocaine Topical Product
Open wound of the ear,Emollien
Open wound of the ear,Rocuronium
Foreign body in the nose,Phenylephrine (Duramax)
Foreign body in the nose,Oxymetazoline Nasal
Foreign body in the nose,Ketamine
Foreign body in the nose,Chlorpromazine (Thorazine)
Idiopathic painful menstruation,Ortho Cyclen
Idiopathic painful menstruation,Medroxyprogesterone
Idiopathic painful menstruation,Mefenamic Acid
Idiopathic painful menstruation,Portia
Idiopathic painful menstruation,Modicon
Idiopathic painful menstruation,Leuprolide (Lupron)
Idiopathic painful menstruation,Rofecoxib (Vioxx)
Idiopathic painful menstruation,Valdecoxib (Bextra)
Idiopathic painful menstruation,Nitrous Oxide
Down syndrome,Ofloxacin
Down syndrome,Brompheniramine (E.N.T.)
Down syndrome,Simethicone (Degas)
Down syndrome,Pegaspargase
Down syndrome,Lacosamide (Vimpat)
Down syndrome,Antihemophilic Factor (Obsolete)
Down syndrome,Thioridazine
Down syndrome,Scopolamine
Down syndrome,Emollien
Down syndrome,Barium Sulfate
Down syndrome,Triiodothyronine (Cytomel)
Idiopathic infrequent menstruation,Medroxyprogesterone
Idiopathic infrequent menstruation,Clomiphene (Clomid)
Idiopathic infrequent menstruation,Ortho Cyclen
Idiopathic infrequent menstruation,Human Chorionic Gonadotropin (Hcg)
Idiopathic infrequent menstruation,Benzoyl Peroxide-Clindamycin Topical
Idiopathic infrequent menstruation,Norethindrone (Loestrin Fe)
Idiopathic infrequent menstruation,Letrozole (Femara)
Idiopathic infrequent menstruation,Terconazole Topical
Idiopathic infrequent menstruation,Doxepin
Idiopathic infrequent menstruation,Progesterone
Pneumothorax,Morphine (Rms)
Pneumothorax,Fentanyl
Pneumothorax,Midazolam (Versed)
Pneumothorax,Oxygen
Pneumothorax,Zosyn
Pneumothorax,Colistimethate
Pneumothorax,Etomidate
Pneumothorax,Ioversol
Pneumothorax,Pancrelipase (Pancrease)
Pneumothorax,Fluocinonide Topical
De Quervain disease,Triamcinolone Topical Product
De Quervain disease,Meloxicam
De Quervain disease,Bupivacaine
De Quervain disease,Diclofenac
De Quervain disease,Dyclonine Topical
De Quervain disease,Estropipate (Ogen)
De Quervain disease,Orlistat (Alli)
De Quervain disease,Diclofenac Topical Product
De Quervain disease,Exemestane (Aromasin)
De Quervain disease,Iodine Topical
De Quervain disease,Nisoldipine (Sular)
Fracture of the vertebra,Iohexol (Omnipaque)
Fracture of the vertebra,Ioversol
Fracture of the vertebra,Fesoterodine (Toviaz)
Fracture of the vertebra,Flumazenil
Fracture of the vertebra,Iron Polysaccharide
Fracture of the vertebra,Ethosuximide
Fracture of the vertebra,Teriparatide (Forteo)
Fracture of the vertebra,Caffeine
Fracture of the vertebra,Lenalidomide (Revlimid)
Fracture of the vertebra,Peri-Colace
Fracture of the vertebra,Iopamidol (Isovue)
Fracture of the vertebra,Zoster Vaccine Live
Human immunodeficiency virus infection (HIV),Emtricitabine-Tenofovir
Human immunodeficiency virus infection (HIV),Ritonavir (Norvir)
Human immunodeficiency virus infection (HIV),Atazanavir (Reyataz)
Human immunodeficiency virus infection (HIV),Kaletra
Human immunodeficiency virus infection (HIV),Efavirenz
Human immunodeficiency virus infection (HIV),Combivir
Human immunodeficiency virus infection (HIV),Lamivudine
Human immunodeficiency virus infection (HIV),Tenofovir
Human immunodeficiency virus infection (HIV),Fluconazole (Diflucan)
Human immunodeficiency virus infection (HIV),Zidovudine
Human immunodeficiency virus infection (HIV),Acyclovir
Mumps,Augmentin
Mumps,Clindamycin
Mumps,Air
Mumps,Mecamylamine
Mumps,Troleandomycin
Mumps,Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)
Mumps,Pipecuronium (Arduan)
Mumps,Grepafloxacin (Raxar)
Mumps,Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)
Mumps,Iopanoic Acid
Mumps,Conjugated Estrogens Topical
Subarachnoid hemorrhage,Phenytoin (Dilantin)
Subarachnoid hemorrhage,Levetiracetam (Keppra)
Subarachnoid hemorrhage,Celecoxib (Celebrex)
Subarachnoid hemorrhage,Buspirone (Buspar)
Subarachnoid hemorrhage,Labetalol
Subarachnoid hemorrhage,Ezetimibe (Zetia)
Subarachnoid hemorrhage,Cefazolin
Subarachnoid hemorrhage,Fosphenytoin
Subarachnoid hemorrhage,Nimodipine
Subarachnoid hemorrhage,Naloxone (Suboxone)
Subarachnoid hemorrhage,Sennosid
Subarachnoid hemorrhage,Nitroprusside
Acute fatty liver of pregnancy (AFLP),Ursodiol (Urso)
Acute fatty liver of pregnancy (AFLP),Methadone
Acute fatty liver of pregnancy (AFLP),Glyburide
Acute fatty liver of pregnancy (AFLP),Famotidine
Acute fatty liver of pregnancy (AFLP),Mecamylamine
Acute fatty liver of pregnancy (AFLP),Grepafloxacin (Raxar)
Acute fatty liver of pregnancy (AFLP),Malathion Topical
Acute fatty liver of pregnancy (AFLP),Gemtuzumab (Mylotarg)
Acute fatty liver of pregnancy (AFLP),Gadoteridol (Prohance)
Acute fatty liver of pregnancy (AFLP),Devil'S Claw Preparation
Acute fatty liver of pregnancy (AFLP),Isocarboxazid (Marplan)
Ectropion,Loteprednol Ophthalmic
Ectropion,Dexamethasone-Tobramycin Ophthalmic
Ectropion,Latanoprost
Ectropion,Azithromycin Ophthalmic
Ectropion,Fluorescein
Ectropion,Ginkgo Biloba Extract (Ginkgo)
Ectropion,Pilocarpine Ophthalmic
Ectropion,Brimonidine-Timolol Ophthalmic
Ectropion,Cyclosporine Ophthalmic
Ectropion,Erythromycin Ophthalmic
Ectropion,Candesartan (Atacand)
Ectropion,Brimonidine Ophthalmic
Ectropion,Tropicamide Ophthalmic
Scar,Triamcinolone Topical Product
Scar,Triamcinolone
Scar,Benzoyl Peroxide Topical
Scar,Tretinoin Topical
Scar,Flurandrenolide Topical
Scar,Benzoyl Peroxide-Erythromycin Topical
Scar,Tazarotene Topical
Scar,Desoximetasone Topical
Scar,Clindamycin Topical Product
Scar,Pimecrolimus Topical
Scar,Acetylcysteine
Scar,Adapalene Topical
Scar,Ceftibuten (Cedax)
Lactose intolerance,Lactase
Lactose intolerance,Polyethylene Glycol 3350 (Miralax)
Lactose intolerance,Hydrocortisone Topical
Lactose intolerance,Rotavirus Vaccines (Rotavirus Vaccine)
Lactose intolerance,Acyclovir
Lactose intolerance,Iodinated Glycerol (Organidin)
Lactose intolerance,Penciclovir Topical
Lactose intolerance,Pirbuterol (Maxair)
Lactose intolerance,Lidocaine-Prilocaine Topical
Lactose intolerance,Infliximab (Remicade)
Eustachian tube dysfunction (ear disorder),Mometasone Nasal Product
Eustachian tube dysfunction (ear disorder),Pseudoephedrine (Pcm-La)
Eustachian tube dysfunction (ear disorder),Ofloxacin
Eustachian tube dysfunction (ear disorder),Triamcinolone Nasal Product
Eustachian tube dysfunction (ear disorder),Cefuroxime
Eustachian tube dysfunction (ear disorder),Oxymetazoline Nasal
Eustachian tube dysfunction (ear disorder),Robitussin Dm
Eustachian tube dysfunction (ear disorder),Azelastine Nasal
Eustachian tube dysfunction (ear disorder),Ciclesonide Nasal
Eustachian tube dysfunction (ear disorder),Levocetirizine (Xyzal)
Eustachian tube dysfunction (ear disorder),Lincomycin
Appendicitis,Morphine (Rms)
Appendicitis,Metronidazole
Appendicitis,Zosyn
Appendicitis,Cefoxitin
Appendicitis,Diatrizoate
Appendicitis,Cefotetan
Appendicitis,Iohexol (Omnipaque)
Appendicitis,Ampicillin
Appendicitis,Barium Sulfate
Appendicitis,Meropenem
Appendicitis,Lipase
Appendicitis,Rapacuronium
Appendicitis,Amylases
Graves disease,Thyroxine (Synthroid)
Graves disease,Methimazole
Graves disease,Propylthiouracil
Graves disease,Propranolol
Graves disease,Thyroid (Usp) (Armour Thyroid)
Graves disease,Pramlintide (Symlin)
Graves disease,Lamivudine
Graves disease,Ursodiol (Urso)
Graves disease,Iloprost
Graves disease,Bee Pollen
Graves disease,Sodium Tetradecyl Sulfate (Sotradecol)
