Disease,CommonTestAndProcedure
G6PD enzyme deficiency,Other vascular catheterization; not heart
G6PD enzyme deficiency,Other therapeutic procedures on eyelids; conjunctiva; cornea
G6PD enzyme deficiency,Ophthalmologic and otologic diagnosis and treatment
G6PD enzyme deficiency,Other therapeutic procedures
Nerve impingement near the shoulder,Radiographic imaging procedure
Nerve impingement near the shoulder,Physical therapy exercises (Exercises)
Nerve impingement near the shoulder,Plain x-ray (X ray)
Nerve impingement near the shoulder,Magnetic resonance imaging (Mri)
Nerve impingement near the shoulder,Other non-OR therapeutic procedures on musculoskeletal system
Nerve impingement near the shoulder,Other therapeutic procedures
Nerve impingement near the shoulder,Occupational therapy assessment (Speech therapy)
Nerve impingement near the shoulder,Other therapeutic procedures on muscles and tendons
Toxoplasmosis,Mental health counseling
Toxoplasmosis,Other therapeutic procedures on eyelids; conjunctiva; cornea
Toxoplasmosis,Ophthalmologic and otologic diagnosis and treatment
Toxoplasmosis,Pap smear
Toxoplasmosis,Depression screen (Depression screening)
Toxoplasmosis,Magnetic resonance imaging (Mri)
Toxoplasmosis,Other diagnostic procedures (interview; evaluation; consultation)
Toxoplasmosis,Corneal transplant
Fibroadenoma,Examination of breast
Fibroadenoma,Radiographic imaging procedure
Fibroadenoma,Mammography (Mammogram)
Fibroadenoma,Biopsy
Fibroadenoma,Ultrasonography (Ultrasound)
Fibroadenoma,Complete physical skin exam performed (ML)
Fibroadenoma,Pelvis exam
Fibroadenoma,Breast biopsy and other diagnostic procedures on breast
Open wound of the hand,Suturing of wound
Open wound of the hand,Plain x-ray (X ray)
Open wound of the hand,Wound care management
Open wound of the hand,Application of splint (Splinting)
Open wound of the hand,Nonoperative removal of foreign body
Open wound of the hand,Culture wound
Open wound of the hand,Suture of skin and subcutaneous tissue
Open wound of the hand,Occupational therapy assessment (Speech therapy)
Missed abortion,Radiographic imaging procedure
Missed abortion,Hematologic tests (Blood test)
Missed abortion,Complete blood count (Cbc)
Missed abortion,Urinalysis
Missed abortion,Pelvis exam
Missed abortion,Glucose measurement (Glucose level)
Missed abortion,Standard pregnancy test
Missed abortion,Electrolytes panel
Diabetic ketoacidosis,Hematologic tests (Blood test)
Diabetic ketoacidosis,Intravenous fluid replacement
Diabetic ketoacidosis,Complete blood count (Cbc)
Diabetic ketoacidosis,Glucose measurement (Glucose level)
Diabetic ketoacidosis,Electrolytes panel
Diabetic ketoacidosis,Urinalysis
Diabetic ketoacidosis,Kidney function tests (Kidney function test)
Diabetic ketoacidosis,Radiographic imaging procedure
Granuloma inguinale,Pelvis exam
Granuloma inguinale,Urinalysis
Granuloma inguinale,Complete blood count (Cbc)
Granuloma inguinale,Hematologic tests (Blood test)
Granuloma inguinale,Human papillomavirus DNA detection
Granuloma inguinale,Traction; splints; and other wound care
Granuloma inguinale,Chlamydia test
Granuloma inguinale,Examination of breast
Hemorrhagic fever,Corneal transplant
Hemorrhagic fever,Transurethral resection of prostate (TURP) (Turp)
Hemorrhagic fever,Coronary thrombolysis
Hemorrhagic fever,Control of epistaxis
Hemorrhagic fever,CT scan abdomen (Ct of abdomen)
Hemorrhagic fever,Procedures on spleen (Spleen operation)
Hemorrhagic fever,Bone marrow transplant (Bmt)
Hemorrhagic fever,Removal of ectopic pregnancy
Obsessive compulsive disorder (OCD),Psychotherapy
Obsessive compulsive disorder (OCD),Mental health counseling
Obsessive compulsive disorder (OCD),Depression screen (Depression screening)
Obsessive compulsive disorder (OCD),Psychological and psychiatric evaluation and therapy
Obsessive compulsive disorder (OCD),Occupational therapy assessment (Speech therapy)
Obsessive compulsive disorder (OCD),Electroencephalogram (EEG) (Eeg)
Obsessive compulsive disorder (OCD),Diagnostic spinal tap (Spinal tap)
Injury of the ankle,Radiographic imaging procedure
Injury of the ankle,Plain x-ray (X ray)
Injury of the ankle,Application of splint (Splinting)
Injury of the ankle,Examination of foot
Injury of the ankle,Physical therapy exercises (Exercises)
Injury of the ankle,Magnetic resonance imaging (Mri)
Injury of the ankle,Orthopedic casting
Injury of the ankle,Physical therapy exercises; manipulation; and other procedures
Hyponatremia,Hematologic tests (Blood test)
Hyponatremia,Complete blood count (Cbc)
Hyponatremia,Radiographic imaging procedure
Hyponatremia,Intravenous fluid replacement
Hyponatremia,Electrolytes panel
Hyponatremia,Glucose measurement (Glucose level)
Hyponatremia,Kidney function tests (Kidney function test)
Hyponatremia,Urinalysis
Stricture of the esophagus,Complete blood count (Cbc)
Stricture of the esophagus,Intravenous fluid replacement
Stricture of the esophagus,Upper gastrointestinal endoscopy; biopsy
Stricture of the esophagus,Plain x-ray (X ray)
Stricture of the esophagus,Esophageal dilatation (Esophageal dilation)
Stricture of the esophagus,Electrocardiogram
Stricture of the esophagus,Biopsy
Stricture of the esophagus,Sigmoidoscopy or colonoscopy
Fracture of the ankle,Radiographic imaging procedure
Fracture of the ankle,Plain x-ray (X ray)
Fracture of the ankle,Application of splint (Splinting)
Fracture of the ankle,Orthopedic casting
Fracture of the ankle,Physical therapy exercises (Exercises)
Fracture of the ankle,Examination of foot
Fracture of the ankle,Wound care management
Fracture of the ankle,Traction; splints; and other wound care
Soft tissue sarcoma,Complete physical skin exam performed (ML)
Soft tissue sarcoma,Biopsy
Soft tissue sarcoma,Excision (Removal)
Soft tissue sarcoma,Wound care management
Soft tissue sarcoma,Magnetic resonance imaging (Mri)
Soft tissue sarcoma,Other diagnostic procedures on skin and subcutaneous tissue
Soft tissue sarcoma,Excision of skin lesion
Soft tissue sarcoma,Therapeutic radiology for cancer treatment (Irradiation)
Bone disorder,Radiographic imaging procedure
Bone disorder,Hematologic tests (Blood test)
Bone disorder,Examination of breast
Bone disorder,Complete physical skin exam performed (ML)
Bone disorder,Lipid panel
Bone disorder,Bone density scan
Bone disorder,Pelvis exam
Bone disorder,Mammography (Mammogram)
Epilepsy,Hematologic tests (Blood test)
Epilepsy,Complete blood count (Cbc)
Epilepsy,X-ray computed tomography (Scan ct)
Epilepsy,Other diagnostic procedures (interview; evaluation; consultation)
Epilepsy,Magnetic resonance imaging (Mri)
Epilepsy,CAT scan of head (Head ct)
Epilepsy,Electroencephalogram (EEG) (Eeg)
Epilepsy,Toxicology screen
Personality disorder,Psychotherapy
Personality disorder,Mental health counseling
Personality disorder,Depression screen (Depression screening)
Personality disorder,Toxicology screen
Personality disorder,Psychological and psychiatric evaluation and therapy
Personality disorder,Blood alcohol
Personality disorder,Occupational therapy assessment (Speech therapy)
Personality disorder,Alcohol and drug rehabilitation/detoxification
Shingles (herpes zoster),Complete physical skin exam performed (ML)
Shingles (herpes zoster),Other non-OR or closed therapeutic nervous system procedures
Tourette syndrome,Psychotherapy
Tourette syndrome,Mental health counseling
Tourette syndrome,Other diagnostic procedures (interview; evaluation; consultation)
Tourette syndrome,Depression screen (Depression screening)
Tourette syndrome,Magnetic resonance imaging (Mri)
Tourette syndrome,Psychological and psychiatric evaluation and therapy
Tourette syndrome,Electroencephalogram (EEG) (Eeg)
Tourette syndrome,Colonoscopy and biopsy
Avascular necrosis,Radiographic imaging procedure
Avascular necrosis,Plain x-ray (X ray)
Avascular necrosis,Complete physical skin exam performed (ML)
Avascular necrosis,Magnetic resonance imaging (Mri)
Avascular necrosis,Physical therapy exercises (Exercises)
Avascular necrosis,Other diagnostic procedures (interview; evaluation; consultation)
Avascular necrosis,Lipid panel
Avascular necrosis,Prostate specific antigen measurement (Prostate specific antigen test)
Strep throat,Influenzavirus antibody assay
Strep throat,Tonsillectomy and/or adenoidectomy
Strep throat,Other respiratory therapy
Spinocerebellar ataxia,Hematologic tests (Blood test)
Spinocerebellar ataxia,Magnetic resonance imaging (Mri)
Spinocerebellar ataxia,Other diagnostic procedures (interview; evaluation; consultation)
Spinocerebellar ataxia,Occupational therapy assessment (Speech therapy)
Spinocerebellar ataxia,Physical therapy exercises (Exercises)
Spinocerebellar ataxia,Physical therapy exercises; manipulation; and other procedures
Spinocerebellar ataxia,Cancer chemotherapy (Chemotherapy)
Spinocerebellar ataxia,Other therapeutic procedures
Osteomyelitis,Wound care management
Osteomyelitis,Complete physical skin exam performed (ML)
Osteomyelitis,Glucose measurement (Glucose level)
Osteomyelitis,Traction; splints; and other wound care
Osteomyelitis,Examination of foot
Osteomyelitis,Debridement of wound; infection or burn
Osteomyelitis,Excision (Removal)
Osteomyelitis,Magnetic resonance imaging (Mri)
Sjogren syndrome,Complete physical skin exam performed (ML)
Sjogren syndrome,Mammography (Mammogram)
Sjogren syndrome,Examination of foot
Sjogren syndrome,Hip replacement; total and partial
Sjogren syndrome,Other therapeutic procedures on eyelids; conjunctiva; cornea
Sjogren syndrome,Bone density scan
Adhesive capsulitis of the shoulder,Physical therapy exercises (Exercises)
Adhesive capsulitis of the shoulder,Plain x-ray (X ray)
Adhesive capsulitis of the shoulder,Magnetic resonance imaging (Mri)
Adhesive capsulitis of the shoulder,Other non-OR therapeutic procedures on musculoskeletal system
Adhesive capsulitis of the shoulder,Other therapeutic procedures
Adhesive capsulitis of the shoulder,Bone density scan
Adhesive capsulitis of the shoulder,Other therapeutic procedures on muscles and tendons
Adhesive capsulitis of the shoulder,Other diagnostic radiology and related techniques
Viral hepatitis,Hematologic tests (Blood test)
Viral hepatitis,Complete blood count (Cbc)
Viral hepatitis,Complete physical skin exam performed (ML)
Viral hepatitis,Lipid panel
Viral hepatitis,Ultrasonography (Ultrasound)
Viral hepatitis,Other diagnostic procedures (interview; evaluation; consultation)
Viral hepatitis,Mental health counseling
Viral hepatitis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Tonsillar hypertrophy,Excision (Removal)
Tonsillar hypertrophy,Tonsillectomy and/or adenoidectomy
Tonsillar hypertrophy,Other diagnostic procedures (interview; evaluation; consultation)
Tonsillar hypertrophy,Ophthalmologic and otologic diagnosis and treatment
Tonsillar hypertrophy,Tracheoscopy and laryngoscopy with biopsy
Tonsillar hypertrophy,Other OR therapeutic procedures on nose; mouth and pharynx
Tonsillar hypertrophy,Ophthalmic examination and evaluation (Eye exam)
Tonsillar hypertrophy,Occupational therapy assessment (Speech therapy)
Gastritis,Hematologic tests (Blood test)
Gastritis,Complete blood count (Cbc)
Gastritis,Urinalysis
Gastritis,Intravenous fluid replacement
Gastritis,Glucose measurement (Glucose level)
Gastritis,Kidney function tests (Kidney function test)
Gastritis,Electrolytes panel
Gastritis,Liver function tests (Liver test)
Skin cancer,Complete physical skin exam performed (ML)
Skin cancer,Excision (Removal)
Skin cancer,Biopsy
Skin cancer,Wound care management
Skin cancer,Other diagnostic procedures on skin and subcutaneous tissue
Skin cancer,Excision of skin lesion
Skin cancer,Other therapeutic procedures
Skin cancer,Other non-OR therapeutic procedures on skin and breast
Rheumatic fever,Echocardiography
Rheumatic fever,Mental health counseling
Rheumatic fever,Ultrasonography (Ultrasound)
Rheumatic fever,Electrocardiogram
Rheumatic fever,Complete physical skin exam performed (ML)
Rheumatic fever,Corneal transplant
Rheumatic fever,Transurethral resection of prostate (TURP) (Turp)
Rheumatic fever,Coronary thrombolysis
Aphthous ulcer,Other diagnostic procedures (interview; evaluation; consultation)
Aphthous ulcer,Biopsy
Aphthous ulcer,Upper gastrointestinal endoscopy; biopsy
Tonsillitis,Excision (Removal)
Tonsillitis,Tonsillectomy and/or adenoidectomy
Tonsillitis,Other diagnostic procedures (interview; evaluation; consultation)
Tonsillitis,Biopsy
Tonsillitis,Ophthalmologic and otologic diagnosis and treatment
Tonsillitis,Other OR therapeutic procedures on nose; mouth and pharynx
Tonsillitis,Diagnostic procedures on ear
Tonsillitis,Diagnostic procedures on nose; mouth and pharynx
Intestinal cancer,Hematologic tests (Blood test)
Intestinal cancer,Complete blood count (Cbc)
Intestinal cancer,Radiographic imaging procedure
Intestinal cancer,Glucose measurement (Glucose level)
Intestinal cancer,X-ray computed tomography (Scan ct)
Intestinal cancer,Urinalysis
Intestinal cancer,Electrolytes panel
Intestinal cancer,Electrocardiogram
Rocky Mountain spotted fever,Corneal transplant
Rocky Mountain spotted fever,Transurethral resection of prostate (TURP) (Turp)
Rocky Mountain spotted fever,Coronary thrombolysis
Rocky Mountain spotted fever,Control of epistaxis
Rocky Mountain spotted fever,CT scan abdomen (Ct of abdomen)
Rocky Mountain spotted fever,Procedures on spleen (Spleen operation)
Rocky Mountain spotted fever,Bone marrow transplant (Bmt)
Rocky Mountain spotted fever,Removal of ectopic pregnancy
Stomach cancer,Hematologic tests (Blood test)
Stomach cancer,Complete blood count (Cbc)
Stomach cancer,Radiographic imaging procedure
Stomach cancer,Electrolytes panel
Stomach cancer,Glucose measurement (Glucose level)
Stomach cancer,X-ray computed tomography (Scan ct)
Stomach cancer,Kidney function tests (Kidney function test)
Stomach cancer,Cardiac enzymes measurement (Cardiac enzymes test)
Developmental disability,Psychotherapy
Developmental disability,Mental health counseling
Developmental disability,Occupational therapy assessment (Speech therapy)
Developmental disability,Other diagnostic procedures (interview; evaluation; consultation)
Developmental disability,Magnetic resonance imaging (Mri)
Developmental disability,Ophthalmologic and otologic diagnosis and treatment
Developmental disability,Physical therapy exercises (Exercises)
Developmental disability,Psychological and psychiatric evaluation and therapy
Acute stress reaction,Mental health counseling
Acute stress reaction,Electrocardiogram
Acute stress reaction,Psychotherapy
Acute stress reaction,Depression screen (Depression screening)
Acute stress reaction,Blood alcohol
Acute stress reaction,Toxicology screen
Acute stress reaction,Dental procedures (Care dental)
Acute stress reaction,Psychological and psychiatric evaluation and therapy
Delirium,Hematologic tests (Blood test)
Delirium,Complete blood count (Cbc)
Delirium,Glucose measurement (Glucose level)
Delirium,Urinalysis
Delirium,Electrolytes panel
Delirium,Electrocardiogram
Delirium,X-ray computed tomography (Scan ct)
Delirium,Kidney function tests (Kidney function test)
Callus,Complete physical skin exam performed (ML)
Callus,Excision (Removal)
Callus,Wound care management
Callus,Examination of foot
Callus,Debridement of wound; infection or burn
Callus,Excision of skin lesion
Callus,Other diagnostic procedures on skin and subcutaneous tissue
Callus,Biopsy
Guillain Barre syndrome,Urinalysis
Guillain Barre syndrome,Magnetic resonance imaging (Mri)
Guillain Barre syndrome,Other therapeutic procedures
Guillain Barre syndrome,Physical therapy exercises (Exercises)
Guillain Barre syndrome,Human papillomavirus DNA detection
Guillain Barre syndrome,Echocardiography
Guillain Barre syndrome,Chlamydia test
Guillain Barre syndrome,Insertion of catheter into urinary bladder
Lumbago,Radiographic imaging procedure
Lumbago,Plain x-ray (X ray)
Lumbago,Physical therapy exercises (Exercises)
Lumbago,Magnetic resonance imaging (Mri)
Lumbago,Other therapeutic procedures
Lumbago,Insertion of catheter or spinal stimulator and injection into spinal canal
Lumbago,Physical therapy exercises; manipulation; and other procedures
Lumbago,Other physical therapy and rehabilitation
Deviated nasal septum,X-ray computed tomography (Scan ct)
Deviated nasal septum,Plastic procedures on nose (Rhinoplasty)
Deviated nasal septum,Other diagnostic procedures (interview; evaluation; consultation)
Deviated nasal septum,Excision (Removal)
Deviated nasal septum,Other OR therapeutic procedures on nose; mouth and pharynx
Deviated nasal septum,Diagnostic procedures on nose; mouth and pharynx
Deviated nasal septum,Tracheoscopy and laryngoscopy with biopsy
Deviated nasal septum,Ophthalmologic and otologic diagnosis and treatment
Hemangioma,Complete physical skin exam performed (ML)
Hemangioma,Excision (Removal)
Hemangioma,Excision of skin lesion
Hemangioma,Biopsy
Hemangioma,Wound care management
Hemangioma,Other diagnostic procedures (interview; evaluation; consultation)
Hemangioma,Other diagnostic procedures on skin and subcutaneous tissue
Hemangioma,Magnetic resonance imaging (Mri)
Patau syndrome,Pap smear
Patau syndrome,Depression screen (Depression screening)
Patau syndrome,Mammography (Mammogram)
Patau syndrome,Examination of breast
Patau syndrome,Lipid panel
Patau syndrome,Pelvis exam
Patau syndrome,Complete physical skin exam performed (ML)
Patau syndrome,Urinalysis
Peripheral arterial disease,Wound care management
Peripheral arterial disease,Complete physical skin exam performed (ML)
Peripheral arterial disease,Ultrasonography (Ultrasound)
Peripheral arterial disease,Lipid panel
Peripheral arterial disease,Examination of foot
Peripheral arterial disease,Debridement of wound; infection or burn
Peripheral arterial disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Peripheral arterial disease,Echocardiography
Chronic back pain,Radiographic imaging procedure
Chronic back pain,Plain x-ray (X ray)
Chronic back pain,X-ray computed tomography (Scan ct)
Chronic back pain,Magnetic resonance imaging (Mri)
Chronic back pain,Physical therapy exercises (Exercises)
Chronic back pain,Insertion of catheter or spinal stimulator and injection into spinal canal
Chronic back pain,Other therapeutic procedures
Chronic back pain,Other physical therapy and rehabilitation
Heart failure,Hematologic tests (Blood test)
Heart failure,Radiographic imaging procedure
Heart failure,Complete blood count (Cbc)
Heart failure,Electrocardiogram
Heart failure,Plain x-ray (X ray)
Heart failure,Glucose measurement (Glucose level)
Heart failure,Electrolytes panel
Heart failure,Kidney function tests (Kidney function test)
Conjunctivitis,Ophthalmic examination and evaluation (Eye exam)
Conjunctivitis,Influenzavirus antibody assay
Conjunctivitis,Nonoperative removal of foreign body
Conjunctivitis,Other OR therapeutic nervous system procedures
Conjunctivitis,Other therapeutic ear procedures
Conjunctivitis,Other extraocular muscle and orbit therapeutic procedures
Conjunctivitis,Other non-OR therapeutic procedures on nose; mouth and pharynx
Herniated disk,Radiographic imaging procedure
Herniated disk,Magnetic resonance imaging (Mri)
Herniated disk,Physical therapy exercises (Exercises)
Herniated disk,Other diagnostic procedures (interview; evaluation; consultation)
Herniated disk,Insertion of catheter or spinal stimulator and injection into spinal canal
Herniated disk,Other therapeutic procedures
Herniated disk,Excision (Removal)
Herniated disk,Depression screen (Depression screening)
Rhabdomyolysis,Hematologic tests (Blood test)
Rhabdomyolysis,Complete blood count (Cbc)
Rhabdomyolysis,Intravenous fluid replacement
Rhabdomyolysis,Kidney function tests (Kidney function test)
Rhabdomyolysis,Radiographic imaging procedure
Rhabdomyolysis,Cardiac enzymes measurement (Cardiac enzymes test)
Rhabdomyolysis,Urinalysis
Rhabdomyolysis,Electrolytes panel
Breast infection (mastitis),Examination of breast
Breast infection (mastitis),Glucose measurement (Glucose level)
Breast infection (mastitis),Wound care management
Breast infection (mastitis),Electrolytes panel
Breast infection (mastitis),Kidney function tests (Kidney function test)
Breast infection (mastitis),Mammography (Mammogram)
Breast infection (mastitis),Ultrasonography (Ultrasound)
Breast infection (mastitis),Blood culture
Abdominal aortic aneurysm,Radiographic imaging procedure
Abdominal aortic aneurysm,Hematologic tests (Blood test)
Abdominal aortic aneurysm,X-ray computed tomography (Scan ct)
Abdominal aortic aneurysm,Complete blood count (Cbc)
Abdominal aortic aneurysm,Ultrasonography (Ultrasound)
Abdominal aortic aneurysm,Electrocardiogram
Abdominal aortic aneurysm,Electrolytes panel
Abdominal aortic aneurysm,Kidney function tests (Kidney function test)
Pulmonary embolism,Hematologic tests (Blood test)
Pulmonary embolism,Radiographic imaging procedure
Pulmonary embolism,Complete blood count (Cbc)
Pulmonary embolism,Electrocardiogram
Pulmonary embolism,Plain x-ray (X ray)
Pulmonary embolism,X-ray computed tomography (Scan ct)
Pulmonary embolism,Glucose measurement (Glucose level)
Pulmonary embolism,Kidney function tests (Kidney function test)
Conduct disorder,Mental health counseling
Conduct disorder,Psychotherapy
Conduct disorder,Toxicology screen
Conduct disorder,Blood alcohol
Conduct disorder,Psychological and psychiatric evaluation and therapy
Conduct disorder,Occupational therapy assessment (Speech therapy)
Conduct disorder,Electroencephalogram (EEG) (Eeg)
Conduct disorder,Ophthalmologic and otologic diagnosis and treatment
Air embolism,Corneal transplant
Air embolism,Transurethral resection of prostate (TURP) (Turp)
Air embolism,Coronary thrombolysis
Air embolism,Control of epistaxis
Air embolism,CT scan abdomen (Ct of abdomen)
Air embolism,Procedures on spleen (Spleen operation)
Air embolism,Bone marrow transplant (Bmt)
Air embolism,Removal of ectopic pregnancy
Mastectomy,Examination of breast
Mastectomy,Complete blood count (Cbc)
Mastectomy,Mammography (Mammogram)
Mastectomy,Complete physical skin exam performed (ML)
Mastectomy,Glucose measurement (Glucose level)
Mastectomy,Wound care management
Mastectomy,Magnetic resonance imaging (Mri)
Mastectomy,Other diagnostic procedures (interview; evaluation; consultation)
Epididymitis,Urinalysis
Epididymitis,Radiographic imaging procedure
Epididymitis,Ultrasonography (Ultrasound)
Epididymitis,Rectal examination
Epididymitis,Prostate specific antigen measurement (Prostate specific antigen test)
Epididymitis,Blood culture
Epididymitis,Insertion of catheter into urinary bladder
Epididymitis,Microscopic examination (bacterial smear; culture; toxicology)
Premature rupture of amniotic membrane,Hematologic tests (Blood test)
Premature rupture of amniotic membrane,Complete blood count (Cbc)
Premature rupture of amniotic membrane,Urinalysis
Premature rupture of amniotic membrane,Intravenous fluid replacement
Premature rupture of amniotic membrane,Arterial blood gases (ABGs)
Premature rupture of amniotic membrane,Prothrombin time assay (Prothrombin time)
Premature rupture of amniotic membrane,Pelvis exam
Premature rupture of amniotic membrane,Fetal monitoring
Molluscum contagiosum,Complete physical skin exam performed (ML)
Molluscum contagiosum,Excision (Removal)
Molluscum contagiosum,Excision of skin lesion
Molluscum contagiosum,Other therapeutic procedures
Molluscum contagiosum,Chlamydia test
Molluscum contagiosum,Examination of foot
Necrotizing fasciitis,Complete physical skin exam performed (ML)
Necrotizing fasciitis,Complete blood count (Cbc)
Necrotizing fasciitis,Wound care management
Necrotizing fasciitis,Kidney function tests (Kidney function test)
Necrotizing fasciitis,Electrolytes panel
Necrotizing fasciitis,Glucose measurement (Glucose level)
Necrotizing fasciitis,Blood culture
Necrotizing fasciitis,Cardiac monitoring (Cardiac monitor)
Benign vaginal discharge (leukorrhea),Urinalysis
Benign vaginal discharge (leukorrhea),Pelvis exam
Benign vaginal discharge (leukorrhea),Standard pregnancy test
Benign vaginal discharge (leukorrhea),Chlamydia test
Benign vaginal discharge (leukorrhea),Examination of breast
Benign vaginal discharge (leukorrhea),Microscopic examination (bacterial smear; culture; toxicology)
Benign vaginal discharge (leukorrhea),Pap smear
Benign vaginal discharge (leukorrhea),Human papillomavirus DNA detection
Bladder obstruction,Urinalysis
Bladder obstruction,Rectal examination
Bladder obstruction,Prostate specific antigen measurement (Prostate specific antigen test)
Bladder obstruction,Ultrasonography (Ultrasound)
Bladder obstruction,Other diagnostic procedures (interview; evaluation; consultation)
Bladder obstruction,Insertion of catheter into urinary bladder
Bladder obstruction,Excision (Removal)
Bladder obstruction,Nonoperative urinary system measurements
Melanoma,Complete physical skin exam performed (ML)
Melanoma,Excision (Removal)
Melanoma,Wound care management
Melanoma,Biopsy
Melanoma,Other diagnostic procedures on skin and subcutaneous tissue
Melanoma,Excision of skin lesion
Melanoma,Lipid panel
Melanoma,Magnetic resonance imaging (Mri)
Cervical disorder,Pelvis exam
Cervical disorder,Examination of breast
Cervical disorder,Biopsy
Cervical disorder,Excision (Removal)
Cervical disorder,Ultrasonography (Ultrasound)
Cervical disorder,Other diagnostic procedures; female organs
Cervical disorder,Mammography (Mammogram)
Cervical disorder,Pap smear
Laryngitis,Other diagnostic procedures (interview; evaluation; consultation)
Laryngitis,Tracheoscopy and laryngoscopy with biopsy
Laryngitis,Occupational therapy assessment (Speech therapy)
Laryngitis,Upper gastrointestinal endoscopy; biopsy
Laryngitis,Other OR upper GI therapeutic procedures
Laryngitis,Diagnostic procedures on ear
Laryngitis,Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
Laryngitis,Other diagnostic radiology and related techniques
Dyshidrosis,Complete physical skin exam performed (ML)
Dyshidrosis,Depression screen (Depression screening)
Dyshidrosis,Examination of foot
Dyshidrosis,Excision of skin lesion
Dyshidrosis,Excision (Removal)
Dyshidrosis,Bone density scan
Dyshidrosis,Corneal transplant
Dyshidrosis,Procedures on spleen (Spleen operation)
Poisoning due to opioids,Hematologic tests (Blood test)
Poisoning due to opioids,Intravenous fluid replacement
Poisoning due to opioids,Complete blood count (Cbc)
Poisoning due to opioids,Urinalysis
Poisoning due to opioids,Electrocardiogram
Poisoning due to opioids,Kidney function tests (Kidney function test)
Poisoning due to opioids,Radiographic imaging procedure
Poisoning due to opioids,Glucose measurement (Glucose level)
Diaper rash,Complete physical skin exam performed (ML)
Diaper rash,Other diagnostic procedures (interview; evaluation; consultation)
Diaper rash,Rectal examination
Diaper rash,Influenzavirus antibody assay
Diaper rash,Prophylactic vaccinations and inoculations
Diaper rash,Nonoperative urinary system measurements
Lichen planus,Complete physical skin exam performed (ML)
Lichen planus,Pelvis exam
Lichen planus,Depression screen (Depression screening)
Lichen planus,Biopsy
Lichen planus,Rectal examination
Lichen planus,Other OR therapeutic procedures on nose; mouth and pharynx
Lichen planus,Human papillomavirus DNA detection
Lichen planus,Microscopic examination (bacterial smear; culture; toxicology)
Gastroduodenal ulcer,Hematologic tests (Blood test)
Gastroduodenal ulcer,Complete blood count (Cbc)
Gastroduodenal ulcer,Radiographic imaging procedure
Gastroduodenal ulcer,Glucose measurement (Glucose level)
Gastroduodenal ulcer,Intravenous fluid replacement
Gastroduodenal ulcer,Electrolytes panel
Gastroduodenal ulcer,Urinalysis
Gastroduodenal ulcer,Kidney function tests (Kidney function test)
Inguinal hernia,Complete physical skin exam performed (ML)
Inguinal hernia,Other OR therapeutic nervous system procedures
Inguinal hernia,Other diagnostic procedures (interview; evaluation; consultation)
Inguinal hernia,Wound care management
Inguinal hernia,Prostate specific antigen measurement (Prostate specific antigen test)
Inguinal hernia,Rectal examination
Inguinal hernia,Excision (Removal)
Inguinal hernia,Sigmoidoscopy or colonoscopy
Eczema,Complete physical skin exam performed (ML)
Eczema,Wound care management
Eczema,Other diagnostic procedures (interview; evaluation; consultation)
Eczema,Excision (Removal)
Eczema,Biopsy
Eczema,Examination of foot
Eczema,Excision of skin lesion
Eczema,Other diagnostic procedures on skin and subcutaneous tissue
Asperger syndrome,Psychotherapy
Asperger syndrome,Mental health counseling
Asperger syndrome,Occupational therapy assessment (Speech therapy)
Asperger syndrome,Depression screen (Depression screening)
Asperger syndrome,Electroencephalogram (EEG) (Eeg)
Asperger syndrome,Psychological and psychiatric evaluation and therapy
Mucositis,Therapeutic radiology for cancer treatment (Irradiation)
Paronychia,Wound care management
Paronychia,Incision and drainage (I d)
Paronychia,Culture wound
Paronychia,Examination of foot
Paronychia,Excision (Removal)
Paronychia,Other non-OR therapeutic procedures on skin and breast
Paronychia,Microscopic examination (bacterial smear; culture; toxicology)
Paronychia,Other diagnostic procedures on musculoskeletal system
Open wound of the jaw,Suturing of wound
Open wound of the jaw,Wound care management
Open wound of the jaw,X-ray computed tomography (Scan ct)
Open wound of the jaw,CAT scan of head (Head ct)
Open wound of the jaw,Culture wound
Open wound of the jaw,Suture of skin and subcutaneous tissue
White blood cell disease,Hematologic tests (Blood test)
White blood cell disease,Complete blood count (Cbc)
White blood cell disease,Radiographic imaging procedure
White blood cell disease,Glucose measurement (Glucose level)
White blood cell disease,Intravenous fluid replacement
White blood cell disease,Urinalysis
White blood cell disease,Electrolytes panel
White blood cell disease,Kidney function tests (Kidney function test)
Kaposi sarcoma,Glucose measurement (Glucose level)
Kaposi sarcoma,Complete physical skin exam performed (ML)
Kaposi sarcoma,Mental health counseling
Kaposi sarcoma,Cancer chemotherapy (Chemotherapy)
Kaposi sarcoma,Excision (Removal)
Kaposi sarcoma,CAT scan of head (Head ct)
Kaposi sarcoma,Psychotherapy
Kaposi sarcoma,Corneal transplant
Spondylolisthesis,Radiographic imaging procedure
Spondylolisthesis,Plain x-ray (X ray)
Spondylolisthesis,Physical therapy exercises (Exercises)
Spondylolisthesis,Magnetic resonance imaging (Mri)
Spondylolisthesis,Other diagnostic procedures (interview; evaluation; consultation)
Spondylolisthesis,Insertion of catheter or spinal stimulator and injection into spinal canal
Spondylolisthesis,Other therapeutic procedures
Spondylolisthesis,Bone density scan
Pseudotumor cerebri,Intravenous fluid replacement
Pseudotumor cerebri,Magnetic resonance imaging (Mri)
